precinct,total00,total01,total02,total03,total04,total05,total06,total07,total08,total09,total10,total11,total12,total13,total14,total15,total16,total17,total18,total19,total20,total21,yeartodate2022
1,12,5,10,11,11,5,4,7,12,4,6,13,10,12,8,7,9,18,23,15,19,15,17
5,9,3,12,7,7,13,5,4,2,6,10,11,12,5,4,10,8,7,7,14,15,20,15
6,7,5,7,11,7,12,6,7,5,9,13,15,15,8,11,8,15,9,20,6,7,13,10
7,14,12,8,11,8,10,7,7,11,11,11,14,19,6,7,9,17,9,15,7,14,9,12
9,12,11,18,15,22,20,14,15,9,16,14,13,15,18,22,19,10,16,40,15,10,20,14
10,10,7,2,20,18,16,10,8,9,6,10,13,10,12,7,11,9,18,19,15,6,12,7
13,8,13,26,20,21,11,9,6,11,9,13,17,17,11,12,19,23,18,18,17,13,23,14
14,12,11,12,14,24,17,3,16,7,6,17,15,9,10,12,13,18,21,19,17,25,19,18
17,9,7,14,8,10,12,11,6,8,11,8,10,10,6,11,3,10,6,13,10,13,8,11
18,14,14,15,19,26,20,6,12,8,7,15,11,14,14,10,15,13,26,21,29,14,18,15
19,14,9,12,12,19,8,12,10,14,10,16,15,16,6,12,9,5,16,14,18,12,13,9
20,6,8,7,14,7,6,7,7,7,4,11,11,12,10,8,6,4,8,13,10,5,7,11
22,3,3,5,4,7,2,0,1,1,0,7,2,1,4,1,3,1,5,3,1,2,6,2
23,18,32,31,34,33,44,22,21,15,22,26,28,29,17,15,24,21,14,9,20,17,16,15
24,14,15,15,16,18,21,10,13,12,9,11,12,10,10,13,10,8,14,15,10,3,14,5
25,21,22,20,28,36,23,24,19,17,14,17,23,29,22,28,24,22,25,43,23,12,12,10
26,6,9,12,12,25,19,12,8,16,10,13,7,10,9,16,6,10,11,11,8,10,5,14
28,24,19,24,25,16,20,18,12,14,9,13,18,17,12,14,13,11,8,18,11,15,9,7
30,27,30,23,30,33,32,24,18,12,19,35,21,11,21,18,20,22,9,19,20,13,7,14
103,31,36,40,48,49,44,38,27,32,32,21,37,34,37,20,28,29,30,31,26,20,21,27
104,14,15,20,15,22,23,29,11,17,13,21,14,15,15,18,19,21,16,17,28,14,19,17
105,32,38,37,38,35,54,41,37,32,32,19,27,34,18,23,37,17,21,24,30,36,43,9
106,33,19,12,27,23,17,27,21,19,11,18,10,16,19,25,14,15,11,16,20,10,13,18
32,45,34,34,45,34,43,32,30,35,24,31,27,33,27,17,35,32,17,20,25,21,18,22
