precinct,total00,total01,total02,total03,total04,total05,total06,total07,total08,total09,total10,total11,total12,total13,total14,total15,total16,total17,total18,total19,total20,total21,yeartodate2022
1,475,437,297,403,246,293,255,231,189,207,170,155,188,171,145,138,117,65,85,131,247,191,187
5,285,247,212,215,173,158,152,122,150,141,127,120,138,92,101,86,81,86,130,101,190,112,120
6,277,294,299,277,339,305,280,203,282,232,176,182,140,132,163,148,106,131,163,137,346,234,325
7,149,181,170,157,118,101,127,118,104,75,101,83,92,67,56,85,55,65,93,94,178,128,129
9,347,317,340,354,382,286,297,210,225,284,220,209,193,165,138,135,112,131,161,123,270,298,300
10,184,106,144,225,195,178,179,110,131,98,99,118,89,101,72,71,77,80,78,83,172,135,131
13,587,560,636,559,431,416,443,354,359,354,252,245,188,214,245,234,178,144,195,208,381,232,211
14,838,876,744,815,638,615,609,535,473,437,354,327,316,345,275,301,253,226,210,178,353,464,504
17,276,270,272,225,231,198,215,139,166,123,96,96,135,107,124,98,84,83,80,100,185,149,135
18,678,483,479,465,387,399,296,266,247,232,188,183,171,175,213,220,208,203,175,165,269,200,167
19,712,710,713,551,553,454,488,376,419,322,234,250,241,252,218,174,216,203,227,223,384,253,178
20,228,170,242,247,207,194,145,126,150,120,101,74,105,85,88,66,59,78,82,81,152,81,114
22,5,4,4,5,5,3,4,1,3,3,2,1,2,6,2,3,3,1,0,1,6,2,2
23,219,187,161,110,114,94,92,109,95,93,94,95,103,99,107,109,96,95,72,79,154,109,142
24,242,255,235,217,174,227,155,149,119,144,124,89,135,109,146,109,132,149,141,110,202,136,137
25,156,174,123,157,198,175,161,127,121,121,105,116,133,132,107,113,79,93,115,108,172,108,157
26,201,124,123,127,111,108,102,71,78,58,79,57,60,59,59,64,55,56,61,71,113,77,92
28,210,141,137,155,153,119,173,97,127,111,111,126,102,82,79,102,114,91,102,90,147,153,131
30,344,213,184,179,218,137,145,119,123,100,101,134,151,130,100,99,71,85,85,69,103,111,56
103,526,465,372,326,352,349,352,318,290,300,257,252,310,300,281,251,202,165,152,171,226,188,151
104,905,768,785,732,572,514,525,458,389,450,448,401,390,339,292,267,303,263,214,180,323,245,203
105,643,622,617,560,451,475,520,550,471,433,394,493,537,469,323,358,334,302,266,181,216,164,146
106,619,416,263,220,333,316,332,335,304,313,306,330,373,346,251,234,215,205,133,131,161,130,101
32,292,245,232,217,196,161,208,189,174,155,121,152,108,82,94,113,132,97,124,110,128,168,153
33,295,199,168,173,180,148,142,140,136,134,102,129,163,118,111,103,53,77,67,114,228,130,71
34,610,420,373,311,390,281,272,294,242,254,190,272,261,208,177,193,139,172,155,122,226,139,113
40,465,326,285,271,295,258,234,240,275,252,200,238,158,213,144,236,266,236,251,255,279,197,264
41,392,228,252,257,252,232,213,207,215,215,210,204,205,202,206,165,166,131,114,119,149,117,116
42,412,355,345,367,333,327,334,319,190,164,150,178,165,177,163,185,174,187,225,205,243,209,253
43,767,727,613,547,499,459,441,402,390,418,384,385,348,361,327,322,312,185,179,140,244,255,229
44,829,506,494,462,382,352,349,355,291,308,276,342,291,255,270,287,218,221,215,173,253,273,314
45,381,363,302,308,288,229,275,255,270,303,308,286,228,172,156,144,137,135,138,99,101,117,77
46,821,667,523,608,578,463,326,289,261,215,208,247,226,188,208,268,243,191,190,199,379,181,157
47,689,536,438,455,383,355,349,383,367,379,373,407,397,391,377,284,325,317,294,245,241,247,212
48,620,406,375,424,390,301,324,325,290,286,254,200,208,250,271,222,190,183,182,150,237,222,191
49,584,581,503,430,474,389,411,395,356,404,379,391,344,232,190,185,180,180,171,133,167,154,98
50,409,355,285,286,263,221,185,214,204,191,167,207,178,154,175,108,115,118,105,102,150,96,103
52,1071,772,778,721,735,632,500,505,448,502,433,448,415,354,371,275,272,170,208,184,236,183,151
60,445,299,294,278,279,277,231,198,174,149,163,200,257,214,193,165,104,61,89,85,140,169,117
61,959,701,625,643,607,465,375,386,416,310,248,255,369,346,342,338,184,222,169,144,215,152,166
62,769,642,623,540,496,579,458,396,345,330,301,250,255,308,303,232,168,200,178,162,150,147,136
63,399,304,283,258,236,219,237,315,278,241,273,257,251,196,176,186,128,103,92,88,97,103,85
66,663,548,536,443,448,362,382,354,367,394,383,335,324,277,285,258,166,159,186,164,171,163,139
67,851,848,712,603,537,540,533,472,445,432,405,458,452,388,351,298,267,225,225,156,195,165,153
68,479,461,538,454,408,380,368,309,340,219,240,206,200,236,195,227,133,123,96,104,141,125,73
69,431,293,247,235,234,208,198,189,208,172,253,231,308,255,225,124,99,89,90,63,110,76,73
70,1005,908,889,794,682,543,524,478,408,370,322,338,354,321,294,283,180,180,173,133,217,208,133
71,690,491,619,494,454,378,322,316,304,251,307,236,213,195,179,209,164,132,143,126,143,103,98
72,561,554,433,498,424,375,359,263,244,243,245,204,178,177,188,212,141,144,153,159,181,168,191
73,468,538,459,411,389,337,301,280,312,266,281,338,316,291,275,168,190,202,176,166,195,154,142
75,763,618,482,574,609,527,464,461,443,449,471,512,657,638,530,439,374,396,441,468,433,406,293
76,192,205,195,148,164,159,118,91,115,114,105,97,101,92,96,132,75,74,65,64,94,80,83
77,585,598,486,408,405,317,264,306,272,253,317,370,323,307,298,255,196,181,158,127,193,146,138
78,442,332,308,265,287,187,193,204,211,208,172,132,165,167,132,166,127,131,106,104,116,149,93
79,461,463,323,343,313,409,373,421,422,374,408,352,328,244,362,312,327,289,301,259,333,245,166
81,447,380,388,349,329,266,286,297,291,261,245,298,335,252,310,247,233,178,218,215,242,181,142
83,699,530,608,644,553,469,539,483,456,483,477,481,520,397,496,472,323,334,303,247,350,275,215
84,309,306,259,174,181,150,156,159,146,112,119,145,141,101,115,92,80,117,126,111,181,163,141
88,265,231,238,189,214,232,186,152,173,182,184,126,209,146,182,122,112,144,101,122,131,101,86
90,532,483,552,578,549,490,584,362,428,482,476,313,348,277,333,383,257,271,229,202,364,236,214
94,250,229,254,327,318,275,240,265,229,221,243,157,213,190,241,221,171,134,141,106,247,233,194
100,156,117,83,69,70,72,62,51,66,69,57,138,207,151,130,77,66,73,59,46,62,39,48
101,277,214,166,113,89,83,84,110,110,113,136,132,237,227,152,151,141,95,98,112,84,71,55
102,705,648,479,429,379,417,419,392,329,366,358,298,315,288,293,227,172,154,104,88,155,121,109
107,587,627,754,713,558,361,433,448,376,289,276,269,261,244,172,151,187,186,149,231,204,199,166
108,758,549,625,582,489,399,398,331,295,264,256,291,244,244,229,204,149,146,109,96,191,178,123
