precinct,total00,total01,total02,total03,total04,total05,total06,total07,total08,total09,total10,total11,total12,total13,total14,total15,total16,total17,total18,total19,total20,total21,yeartodate2022
1,252,188,210,164,154,172,119,128,108,106,96,102,81,68,50,79,60,69,80,78,151,135,99
5,351,261,196,148,136,134,132,151,131,125,106,127,122,102,76,100,102,89,85,91,67,74,67
6,378,293,313,249,257,228,214,207,187,147,148,155,148,140,99,114,120,139,153,143,142,190,186
7,279,214,190,191,212,200,176,222,182,158,130,127,147,145,115,107,129,134,118,149,116,118,136
9,332,251,263,264,210,264,252,207,224,197,189,186,177,137,110,134,152,120,85,119,94,182,179
10,191,136,156,207,175,180,174,149,159,131,114,137,114,110,89,105,94,90,81,123,126,141,110
13,341,312,332,308,301,299,311,247,234,199,192,187,183,124,144,147,116,96,152,167,166,190,142
14,629,527,468,394,329,338,289,245,238,220,168,177,185,174,177,221,201,177,150,142,174,427,452
17,169,147,129,108,107,125,98,94,83,67,56,63,47,61,64,49,65,72,63,60,64,93,66
18,430,397,325,267,257,270,227,166,165,124,137,137,123,125,129,159,163,135,130,171,136,131,114
19,390,367,349,267,307,313,252,220,192,149,144,137,129,104,96,107,99,125,138,171,237,174,175
20,177,174,187,154,167,156,148,118,123,99,90,76,96,81,53,68,57,71,61,85,90,115,86
22,53,37,38,32,23,38,26,34,25,20,23,18,15,16,20,27,23,17,13,21,10,17,20
23,453,383,401,348,321,309,331,297,326,239,248,207,271,266,255,221,192,142,145,168,168,189,148
24,372,339,315,354,298,282,258,250,277,177,192,187,178,160,132,141,129,140,139,172,136,146,126
25,314,283,319,337,262,304,284,282,321,233,228,231,245,258,220,226,180,170,191,172,216,242,179
26,225,218,232,213,230,270,250,206,201,197,175,154,145,135,125,123,107,96,107,128,93,74,79
28,315,252,246,282,234,334,308,278,255,240,254,223,210,211,176,189,209,202,156,163,143,172,134
30,394,296,310,333,299,316,300,324,293,205,253,246,257,218,150,168,174,153,159,190,164,106,100
103,640,553,569,437,428,453,448,426,475,392,480,436,438,438,392,384,387,355,346,314,348,340,296
104,408,356,406,410,323,309,309,297,301,279,263,262,279,256,180,174,179,144,140,189,182,142,145
105,428,403,382,389,326,322,423,403,409,344,337,342,353,331,213,275,222,214,197,180,175,152,137
106,472,353,283,235,290,322,394,320,348,245,261,267,312,328,272,264,211,214,183,138,179,203,167
32,432,442,362,372,387,407,411,351,280,265,292,244,243,261,254,278,197,199,193,219,167,183,160
33,295,280,290,314,284,269,245,227,247,225,246,230,214,202,145,137,121,107,111,146,167,232,143
34,357,332,334,311,338,323,326,281,271,250,282,286,246,239,224,246,229,201,200,226,205,211,207
40,611,591,585,634,600,571,478,451,545,408,444,396,480,454,407,514,531,479,462,474,440,438,423
41,287,247,246,264,248,259,286,312,296,224,283,299,329,328,252,226,242,132,153,164,197,208,222
42,424,345,387,409,373,456,396,380,348,267,324,325,334,320,307,329,321,244,239,286,332,342,319
43,730,602,609,620,592,577,521,514,584,503,537,534,584,586,546,560,547,393,299,359,399,527,547
44,866,720,669,528,543,571,501,474,520,408,515,473,452,420,415,556,483,377,382,430,414,534,512
45,224,212,200,195,237,233,245,195,222,200,239,213,190,162,165,160,142,144,127,143,125,170,144
46,666,581,661,627,628,584,593,544,463,396,437,406,390,449,334,418,442,402,315,359,359,384,296
47,541,472,381,402,369,390,408,338,439,429,437,434,506,469,420,415,434,440,337,347,321,376,328
48,437,432,418,390,396,398,471,409,411,382,400,415,442,422,386,365,332,284,276,309,300,356,321
49,392,279,245,245,324,299,310,308,355,266,317,372,331,210,179,228,228,221,176,190,181,220,187
50,204,200,204,201,191,197,177,145,149,133,166,192,146,150,140,154,136,102,110,107,88,106,140
52,741,608,610,655,575,522,547,539,513,513,511,519,546,473,439,457,454,332,334,363,345,376,307
60,536,458,431,446,350,366,365,316,328,240,263,251,299,309,267,273,155,142,138,121,123,106,139
61,521,363,356,365,289,279,264,241,290,191,152,190,259,248,227,214,133,152,150,141,138,114,140
62,352,298,284,226,305,250,252,211,277,205,175,172,214,235,159,172,170,166,120,132,110,114,85
63,353,263,248,325,267,284,269,235,292,257,225,234,238,165,192,146,122,117,88,75,102,81,89
66,349,285,266,222,215,259,230,210,220,180,178,190,183,137,142,133,123,103,101,116,114,78,66
67,743,685,676,528,492,523,508,412,494,408,417,521,496,519,478,429,414,334,246,235,263,251,249
68,233,197,155,148,153,144,142,133,154,118,103,101,112,98,93,97,87,81,59,73,73,50,37
69,481,355,401,433,346,286,314,215,238,254,229,233,220,241,202,188,164,139,115,91,84,60,82
70,1004,878,861,795,805,803,615,480,515,382,400,381,386,373,325,350,237,221,162,157,190,180,146
71,674,581,501,492,393,444,425,386,421,308,273,300,321,328,294,297,225,228,166,169,132,120,124
72,500,413,338,339,331,311,272,281,300,226,251,242,209,232,199,212,194,170,185,181,168,173,143
73,700,636,657,554,531,559,605,569,597,541,501,542,579,470,421,376,335,354,371,293,250,231,259
75,1169,1158,1099,983,900,767,805,841,822,682,763,780,846,909,817,732,636,664,603,683,620,627,574
76,181,133,135,180,145,146,135,127,96,75,99,126,114,104,85,81,68,48,53,42,42,35,46
77,658,496,529,510,397,408,359,392,312,237,295,355,363,395,299,298,256,209,180,196,179,155,156
78,369,259,233,219,227,240,190,170,149,133,126,172,162,156,98,122,127,83,93,79,106,93,88
79,693,649,596,615,607,593,536,554,552,375,433,512,476,394,316,281,307,278,309,261,199,216,137
81,433,420,409,426,410,425,423,392,375,327,353,336,352,338,318,334,235,214,234,213,179,181,124
83,597,562,519,515,465,468,520,434,449,375,460,446,473,392,343,330,337,277,265,237,251,251,241
84,360,284,287,308,230,244,217,228,247,153,184,171,181,156,142,121,127,127,147,138,108,141,111
88,435,424,339,400,333,324,263,217,240,196,237,294,276,218,194,149,121,101,100,144,121,99,80
