precinct,total00,total01,total02,total03,total04,total05,total06,total07,total08,total09,total10,total11,total12,total13,total14,total15,total16,total17,total18,total19,total20,total21,yeartodate2022
1,3,1,2,2,2,0,1,0,1,2,2,0,1,0,0,1,0,9,1,1,1,2,0
5,4,3,0,3,1,4,2,2,2,1,1,0,3,3,2,1,0,0,1,6,1,5,3
6,0,1,0,1,3,1,3,5,0,1,1,1,1,2,2,0,0,0,1,0,1,0,2
7,0,3,5,6,3,7,4,2,3,2,1,5,0,1,0,1,1,0,0,0,2,5,2
9,3,2,1,3,4,2,1,0,3,4,4,1,1,2,2,1,5,3,0,3,2,3,4
10,2,3,2,2,5,4,4,0,4,1,2,3,3,1,0,1,0,0,1,0,3,1,3
13,2,2,2,4,3,3,2,3,1,1,3,2,1,1,0,2,2,3,2,0,3,1,2
14,7,4,8,4,2,1,1,2,1,2,0,2,1,2,0,7,2,3,0,1,3,5,6
17,1,0,1,1,0,0,2,1,1,0,0,0,2,0,0,1,1,2,0,0,0,0,0
18,1,5,2,4,3,3,4,1,3,2,3,0,4,0,2,0,0,1,3,1,4,3,1
19,3,1,3,2,0,4,1,5,1,2,1,3,0,0,0,1,2,0,1,0,1,2,2
20,1,1,1,2,1,0,1,0,1,5,1,0,2,2,0,0,0,2,0,1,1,0,0
22,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
23,9,10,8,8,5,11,10,10,3,9,5,5,2,4,4,7,2,3,4,2,9,8,3
24,3,3,2,5,0,2,5,2,4,3,2,5,4,2,1,1,1,2,3,2,8,1,1
25,10,7,7,6,8,8,9,10,4,3,13,9,10,3,5,5,4,2,3,3,12,16,6
26,4,1,2,4,5,5,0,2,4,2,2,2,3,1,2,0,0,1,1,2,2,2,1
28,5,8,3,5,8,5,12,4,5,2,6,6,5,2,1,3,3,4,0,5,7,2,3
30,9,11,9,5,9,6,12,5,3,1,7,2,2,3,7,2,4,1,3,4,4,3,4
103,14,11,13,30,19,9,15,8,13,11,15,11,10,8,9,6,4,6,5,5,8,8,9
104,6,5,3,3,9,2,3,4,4,2,4,2,1,3,3,3,1,2,2,4,0,2,2
105,8,17,14,13,10,9,9,10,9,9,15,5,8,3,7,8,1,6,9,8,8,7,4
106,8,4,7,2,10,8,3,3,8,4,5,4,2,6,2,3,9,6,6,5,3,5,4
32,17,22,14,13,18,9,17,9,13,11,8,10,11,7,6,3,7,4,5,10,9,16,6
33,12,8,5,6,5,6,10,5,2,3,4,7,2,2,2,1,3,2,1,4,4,5,2
34,8,7,7,9,5,10,10,1,3,2,4,8,5,1,1,3,4,3,1,6,7,12,4
40,13,27,16,16,8,10,14,14,15,14,14,21,12,8,7,9,14,6,8,10,13,17,11
41,5,12,7,6,4,10,14,8,3,6,5,5,8,2,4,3,8,3,4,5,5,11,4
42,12,18,18,10,10,7,17,8,14,15,13,10,8,12,5,6,8,8,8,13,14,19,5
43,16,14,28,10,15,14,12,6,13,13,14,19,18,9,9,8,8,10,14,5,9,16,6
44,25,30,26,23,17,16,13,21,20,11,14,19,8,9,15,11,13,9,11,8,14,22,18
45,7,5,3,4,7,4,4,6,4,1,1,6,2,5,0,3,7,2,0,3,2,5,4
46,23,19,16,8,18,22,18,18,15,13,12,20,13,9,14,14,14,10,9,10,7,12,11
47,29,17,24,27,18,11,17,18,15,18,23,21,16,9,17,11,8,8,5,8,12,16,10
48,17,13,7,8,13,9,17,8,13,7,5,12,9,4,10,6,7,8,11,10,15,13,12
49,13,5,5,8,4,4,8,6,7,7,10,3,8,2,6,6,4,3,7,3,6,9,4
50,5,8,5,3,4,5,8,4,2,1,5,4,6,2,1,2,4,3,7,1,3,1,2
52,25,23,16,13,8,17,13,13,11,7,11,8,6,12,7,12,3,2,7,8,11,7,12
60,8,11,5,10,18,8,5,4,8,9,10,6,4,8,10,4,3,8,0,6,10,10,5
61,6,4,9,10,2,7,6,4,6,3,6,14,3,2,2,5,2,2,1,3,3,1,2
62,5,4,1,3,7,1,4,2,5,7,7,2,4,3,0,1,0,1,2,0,3,3,5
63,3,3,3,10,2,4,9,3,9,6,2,2,8,8,3,5,5,3,5,2,2,1,0
66,3,1,6,6,1,6,3,0,3,8,0,2,1,6,1,4,1,0,0,1,5,1,1
67,26,21,25,28,25,19,19,19,18,18,26,22,15,11,12,17,14,17,6,7,14,13,15
68,2,0,2,1,4,1,2,5,0,1,1,1,1,0,1,0,3,3,2,1,3,1,2
69,8,7,9,8,9,4,7,9,7,6,9,6,4,3,3,4,6,7,5,2,4,11,5
70,13,13,19,17,9,11,11,7,7,9,7,10,11,8,3,17,5,6,6,7,10,5,1
71,12,14,11,11,9,21,18,11,16,10,10,9,3,6,5,4,5,3,8,4,8,2,6
72,8,6,7,5,5,6,4,3,8,8,7,5,2,5,1,3,4,2,2,1,0,2,2
73,13,26,16,12,28,16,22,28,31,21,28,26,16,15,18,14,14,9,13,11,25,23,13
75,40,36,25,32,29,29,29,33,17,24,33,29,18,18,21,18,23,11,7,10,26,25,17
76,4,4,2,0,1,4,0,3,5,5,2,3,0,1,1,1,3,2,4,0,6,5,1
77,18,19,15,15,15,12,23,15,19,13,20,10,10,12,8,12,10,6,2,14,20,11,6
78,1,0,4,1,3,3,3,1,3,1,1,0,1,1,0,0,0,0,0,0,2,1,5
79,12,25,17,17,18,24,23,18,13,15,12,13,11,13,11,7,7,5,9,10,10,9,8
81,17,18,13,14,15,12,12,20,16,13,17,12,16,6,7,5,10,8,10,3,8,10,5
83,18,11,13,16,20,15,6,13,10,10,13,17,9,7,9,7,4,4,8,9,4,7,3
84,1,3,3,1,0,0,2,2,1,1,3,1,3,1,1,2,3,4,2,1,3,1,1
