precinct,total00,total01,total02,total03,total04,total05,total06,total07,total08,total09,total10,total11,total12,total13,total14,total15,total16,total17,total18,total19,total20,total21,yeartodate2022
1,199,157,153,132,133,90,78,63,57,54,38,59,41,27,33,21,50,17,21,19,31,68,50
5,117,100,94,77,70,68,40,41,20,21,15,27,21,12,26,21,10,11,21,16,24,31,22
6,163,171,184,176,128,81,70,74,40,38,45,48,35,33,45,32,33,24,28,41,58,54,47
7,151,122,162,123,125,82,83,56,76,47,49,40,32,24,29,26,33,18,22,18,55,55,52
9,160,146,173,153,138,122,75,89,85,58,50,50,59,46,31,44,43,41,32,37,61,94,34
10,191,127,132,147,122,94,91,65,59,48,42,46,27,39,35,31,31,35,26,23,49,64,62
13,298,232,171,190,160,123,94,80,83,68,55,43,37,52,53,59,26,30,37,43,83,59,60
14,108,99,92,68,59,57,33,30,24,29,23,26,18,22,25,28,23,23,23,12,49,57,49
17,131,125,92,73,59,50,36,45,45,29,31,21,25,20,30,40,26,22,26,16,48,48,50
18,226,202,190,164,120,101,66,67,59,36,48,29,44,36,37,37,31,42,31,49,71,76,88
19,543,304,301,226,215,183,135,145,90,85,89,83,78,57,82,75,73,58,71,65,121,169,143
20,206,145,161,122,128,88,59,46,48,40,33,19,41,22,31,30,28,21,28,38,44,87,58
22,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
23,155,127,115,123,102,96,56,70,87,42,36,32,26,37,24,33,29,19,21,21,66,60,68
24,241,184,157,155,112,105,107,69,69,53,45,43,46,42,44,54,29,41,56,39,77,89,70
25,123,110,134,89,86,68,83,73,55,48,72,35,34,45,32,40,42,30,32,21,51,66,63
26,117,123,111,94,70,64,56,53,49,34,26,27,23,20,20,24,22,16,22,21,47,47,55
28,77,105,92,89,84,52,54,42,50,27,20,17,20,39,22,27,27,18,22,28,47,52,38
30,167,120,99,110,87,80,69,55,62,47,49,25,28,35,22,25,31,22,27,27,59,59,55
103,571,488,413,431,384,330,257,230,201,178,169,204,175,172,144,110,98,80,79,102,170,150,167
104,1059,906,656,588,529,441,456,352,343,297,359,250,210,181,227,178,156,152,123,141,182,214,212
105,1046,918,758,739,595,483,424,339,344,362,383,421,320,263,232,232,204,161,164,212,289,170,183
106,982,783,612,465,422,396,386,315,314,272,324,283,220,191,237,248,123,113,97,109,192,216,160
32,148,155,131,112,112,99,92,85,58,68,53,52,40,31,29,37,48,31,41,34,67,54,59
33,201,195,189,179,116,113,103,93,76,69,66,61,43,29,34,41,28,35,37,38,87,80,109
34,388,350,375,336,290,233,203,153,143,138,97,89,79,76,76,88,70,71,87,62,166,215,242
40,319,285,277,234,232,205,221,175,177,156,126,131,78,105,102,98,91,105,92,118,177,201,232
41,216,193,237,216,171,176,161,147,135,89,80,93,57,76,80,67,75,64,67,54,109,146,156
42,252,235,258,250,227,226,208,158,163,118,123,139,112,77,100,112,85,95,100,108,155,232,223
43,843,753,711,699,657,516,464,402,392,320,253,284,221,190,174,215,174,172,151,143,233,446,389
44,580,453,472,451,413,429,324,266,267,201,202,201,152,126,174,148,124,116,120,111,182,175,293
45,783,626,578,521,531,387,355,328,318,293,207,193,151,160,133,144,134,112,106,125,150,310,224
46,410,435,406,334,323,363,230,194,203,139,131,127,92,91,109,99,93,81,86,63,126,168,153
47,799,586,510,484,481,425,378,356,354,309,359,295,253,202,205,215,187,247,205,183,285,576,325
48,322,308,310,274,259,234,183,175,158,130,122,141,95,102,76,117,73,76,76,86,150,201,214
49,791,578,550,501,497,452,345,327,326,240,236,231,183,111,133,164,138,98,95,98,191,270,254
50,557,445,404,310,253,250,220,202,179,195,135,107,103,87,85,95,89,78,97,90,152,156,197
52,645,560,497,496,472,454,310,272,271,223,188,146,139,120,103,111,109,104,106,78,186,216,192
60,393,262,277,256,175,171,148,133,107,96,116,89,79,66,68,87,56,49,46,39,68,72,96
61,896,616,592,524,396,385,318,228,228,162,187,146,129,126,131,120,93,96,72,60,146,93,139
