precinct,crime,lastweek2024,lastweek2023,week_pct_change,lastmonth2024,lastmonth2023,month_pct_change,yeartodate2024,yeartodate2023,yeartodate_pct_change,ytd_2yr_pct_change,ytd_14yr_pct_change,ytd_31yr_pct_change,lastdate,type
1,Murder,0,0,NA,0,0,NA,3,0,NA,NA,200,-66.7,2024-09-01,Violent
1,Rape,0,0,NA,0,1,-100,11,11,0,-26.7,450,37.5,2024-09-01,Violent
1,Robbery,1,4,-75,13,9,44.4,86,94,-8.5,-7.5,68.6,-85,2024-09-01,Property
1,Felony Assault,5,3,66.7,12,14,-14.3,140,95,47.4,55.6,191.7,12.9,2024-09-01,Violent
1,Burglary,1,5,-80,9,18,-50,151,129,17.1,-16.6,22.8,-73.6,2024-09-01,Property
1,Grand Larceny,20,22,-9.1,95,105,-9.5,747,826,-9.6,-7.8,5.5,-71.4,2024-09-01,Property
1,Motor Vehicle Theft,1,3,-66.7,2,9,-77.8,29,48,-39.6,-39.6,11.5,-95.2,2024-09-01,Property
1,Total Major Felonies,28,37,-24.3,131,156,-16,1167,1203,-3,-5.7,21.7,-74.1,2024-09-01,Combined Total
1,Transit System Crimes,2,6,-66.7,7,10,-30,60,62,-3.2,-10.4,42.9,NA,2024-09-01,Other/Mixed Category
1,Housing System Crimes,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,2024-09-01,Other/Mixed Category
1,Petty Theft,72,91,-20.9,292,383,-23.8,2588,2663,-2.8,-1.9,119.5,NA,2024-09-01,Property
1,Retail Theft,71,88,-19.3,285,376,-24.2,2521,2684,-6.1,-5,NA,NA,2024-09-01,Other/Mixed Category
1,Misdemeanor Assault,8,4,100,41,41,0,305,260,17.3,25.5,76.3,NA,2024-09-01,Violent
1,Rape (FBI/UCR Definition),0,1,-100,1,2,-50,13,14,-7.1,-38.1,NA,NA,2024-09-01,Violent
1,Other Sex Crimes,1,3,-66.7,8,11,-27.3,76,64,18.8,-2.6,NA,NA,2024-09-01,Other/Mixed Category
1,Shooting Victims,0,0,NA,0,0,NA,3,0,NA,50,-40,-25,2024-09-01,Other/Mixed Category
1,Shooting Incidents,0,0,NA,0,0,NA,3,0,NA,50,0,-25,2024-09-01,Other/Mixed Category
5,Murder,0,0,NA,0,2,-100,0,4,-100,-100,-100,-100,2024-09-01,Violent
5,Rape,0,0,NA,0,0,NA,6,3,100,-60,0,-14.3,2024-09-01,Violent
5,Robbery,4,1,300,19,9,111.1,107,86,24.4,98.1,67.2,-80.8,2024-09-01,Property
5,Felony Assault,8,1,700,17,15,13.3,144,134,7.5,1.4,58.2,-26.2,2024-09-01,Violent
5,Burglary,2,8,-75,13,14,-7.1,95,106,-10.4,-15.2,10.5,-80.6,2024-09-01,Property
5,Grand Larceny,15,12,25,70,61,14.8,499,471,5.9,20.2,46.8,-53.1,2024-09-01,Property
5,Motor Vehicle Theft,1,0,NA,4,1,300,20,29,-31,-4.8,122.2,-90.4,2024-09-01,Property
5,Total Major Felonies,30,22,36.4,123,102,20.6,871,833,4.6,14.3,45.9,-65.5,2024-09-01,Combined Total
5,Transit System Crimes,1,1,0,11,3,266.7,41,24,70.8,-16.3,20.6,NA,2024-09-01,Other/Mixed Category
5,Housing System Crimes,1,0,NA,3,2,50,32,25,28,-11.1,39.1,NA,2024-09-01,Other/Mixed Category
5,Petty Theft,43,43,0,152,107,42.1,932,706,32,68.2,22,NA,2024-09-01,Property
5,Retail Theft,47,28,67.9,153,70,118.6,811,451,79.8,282.5,NA,NA,2024-09-01,Other/Mixed Category
5,Misdemeanor Assault,8,12,-33.3,33,40,-17.5,307,252,21.8,22.8,59.1,NA,2024-09-01,Violent
5,Rape (FBI/UCR Definition),0,0,NA,0,0,NA,13,8,62.5,-43.5,NA,NA,2024-09-01,Violent
5,Other Sex Crimes,4,0,NA,12,5,140,54,43,25.6,-20.6,NA,NA,2024-09-01,Other/Mixed Category
5,Shooting Victims,0,0,NA,0,1,-100,2,7,-71.4,-66.7,100,-87.5,2024-09-01,Other/Mixed Category
5,Shooting Incidents,0,0,NA,0,1,-100,1,7,-85.7,-83.3,0,-93.3,2024-09-01,Other/Mixed Category
6,Murder,0,0,NA,0,0,NA,0,1,-100,-100,NA,-100,2024-09-01,Violent
6,Rape,1,1,0,1,1,0,3,7,-57.1,-70,-57.1,-62.5,2024-09-01,Violent
6,Robbery,1,5,-80,11,13,-15.4,108,123,-12.2,-34.5,21.3,-81,2024-09-01,Property
6,Felony Assault,3,4,-25,17,18,-5.6,112,146,-23.3,-9.7,80.6,-45.9,2024-09-01,Violent
6,Burglary,4,4,0,14,12,16.7,168,195,-13.8,-44.4,32.3,-70.1,2024-09-01,Property
6,Grand Larceny,18,23,-21.7,96,107,-10.3,722,836,-13.6,-17.5,1,-55.8,2024-09-01,Property
6,Motor Vehicle Theft,0,0,NA,4,8,-50,29,32,-9.4,-34.1,11.5,-94.1,2024-09-01,Property
6,Total Major Felonies,27,37,-27,143,159,-10.1,1142,1340,-14.8,-25,11.3,-67.1,2024-09-01,Combined Total
6,Transit System Crimes,0,0,NA,2,2,0,28,29,-3.4,-3.4,-22.2,NA,2024-09-01,Other/Mixed Category
6,Housing System Crimes,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,2024-09-01,Other/Mixed Category
6,Petty Theft,37,40,-7.5,176,181,-2.8,1225,1418,-13.6,-7.6,19.5,NA,2024-09-01,Property
6,Retail Theft,25,35,-28.6,132,142,-7,973,1087,-10.5,-8.5,NA,NA,2024-09-01,Other/Mixed Category
6,Misdemeanor Assault,11,6,83.3,24,24,0,247,285,-13.3,-7.5,47.9,NA,2024-09-01,Violent
6,Rape (FBI/UCR Definition),1,1,0,1,1,0,7,9,-22.2,-50,NA,NA,2024-09-01,Violent
6,Other Sex Crimes,1,2,-50,6,6,0,49,45,8.9,4.3,NA,NA,2024-09-01,Other/Mixed Category
6,Shooting Victims,0,0,NA,0,0,NA,1,0,NA,NA,0,-85.7,2024-09-01,Other/Mixed Category
6,Shooting Incidents,0,0,NA,0,0,NA,1,0,NA,NA,0,-85.7,2024-09-01,Other/Mixed Category
7,Murder,0,0,NA,0,0,NA,0,2,-100,-100,-100,-100,2024-09-01,Violent
7,Rape,0,0,NA,0,0,NA,7,7,0,-41.7,16.7,-50,2024-09-01,Violent
7,Robbery,5,0,NA,11,12,-8.3,69,91,-24.2,-43.9,-20.7,-87.2,2024-09-01,Property
7,Felony Assault,6,3,100,26,15,73.3,160,148,8.1,5.3,72,8.8,2024-09-01,Violent
7,Burglary,1,3,-66.7,5,18,-72.2,86,117,-26.5,-25.2,45.8,-64.9,2024-09-01,Property
7,Grand Larceny,12,11,9.1,47,41,14.6,318,390,-18.5,-39.8,87.1,6,2024-09-01,Property
7,Motor Vehicle Theft,1,0,NA,4,5,-20,38,39,-2.6,-22.4,-2.6,-85.1,2024-09-01,Property
7,Total Major Felonies,25,17,47.1,93,91,2.2,678,794,-14.6,-31,49,-55.1,2024-09-01,Combined Total
7,Transit System Crimes,0,0,NA,3,1,200,14,13,7.7,-26.3,16.7,NA,2024-09-01,Other/Mixed Category
7,Housing System Crimes,7,1,600,20,8,150,142,107,32.7,11.8,61.4,NA,2024-09-01,Other/Mixed Category
7,Petty Theft,33,29,13.8,116,120,-3.3,918,843,8.9,-43.8,82.5,NA,2024-09-01,Property
7,Retail Theft,23,15,53.3,72,74,-2.7,612,468,30.8,-53,NA,NA,2024-09-01,Other/Mixed Category
7,Misdemeanor Assault,11,10,10,40,37,8.1,286,298,-4,-5.6,29.4,NA,2024-09-01,Violent
7,Rape (FBI/UCR Definition),0,0,NA,0,1,-100,13,15,-13.3,-31.6,NA,NA,2024-09-01,Violent
7,Other Sex Crimes,0,0,NA,2,3,-33.3,30,32,-6.2,-3.2,NA,NA,2024-09-01,Other/Mixed Category
7,Shooting Victims,1,0,NA,2,0,NA,4,9,-55.6,-55.6,0,-66.7,2024-09-01,Other/Mixed Category
7,Shooting Incidents,1,0,NA,2,0,NA,4,8,-50,-42.9,33.3,-60,2024-09-01,Other/Mixed Category
9,Murder,0,0,NA,0,0,NA,2,1,100,-60,-33.3,-77.8,2024-09-01,Violent
9,Rape,0,0,NA,1,1,0,14,14,0,7.7,55.6,-50,2024-09-01,Violent
9,Robbery,4,1,300,11,17,-35.3,81,130,-37.7,-52.1,-34.1,-86.9,2024-09-01,Property
9,Felony Assault,2,4,-50,19,14,35.7,130,159,-18.2,-3.7,25,-67.4,2024-09-01,Violent
9,Burglary,2,7,-71.4,8,22,-63.6,105,184,-42.9,-59.5,-31.8,-82.1,2024-09-01,Property
9,Grand Larceny,15,22,-31.8,61,84,-27.4,495,681,-27.3,-28.7,-5,-52,2024-09-01,Property
9,Motor Vehicle Theft,0,0,NA,3,3,0,26,30,-13.3,-13.3,-21.2,-92.9,2024-09-01,Property
9,Total Major Felonies,23,34,-32.4,103,141,-27,853,1199,-28.9,-34.6,-9.9,-71.9,2024-09-01,Combined Total
