precinct,crime,lastweek2024,lastweek2023,week_pct_change,lastmonth2024,lastmonth2023,month_pct_change,yeartodate2024,yeartodate2023,yeartodate_pct_change,ytd_2yr_pct_change,ytd_14yr_pct_change,ytd_31yr_pct_change,lastdate,type
1,Murder,0,0,NA,0,0,NA,3,0,NA,NA,200,-66.7,2024-08-18,Violent
1,Rape,0,0,NA,2,1,100,11,11,0,-21.4,450,37.5,2024-08-18,Violent
1,Robbery,5,1,400,14,9,55.6,83,88,-5.7,-8.8,84.4,-84.4,2024-08-18,Property
1,Felony Assault,2,4,-50,11,14,-21.4,133,89,49.4,52.9,209.3,13.7,2024-08-18,Violent
1,Burglary,2,5,-60,15,13,15.4,148,118,25.4,-14.9,33.3,-72.1,2024-08-18,Property
1,Grand Larceny,22,19,15.8,83,110,-24.5,699,769,-9.1,-9.9,5.1,-71.4,2024-08-18,Property
1,Motor Vehicle Theft,1,4,-75,5,8,-37.5,28,44,-36.4,-36.4,12,-95.1,2024-08-18,Property
1,Total Major Felonies,32,33,-3,130,155,-16.1,1105,1119,-1.3,-6.8,23.9,-73.8,2024-08-18,Combined Total
1,Transit System Crimes,2,1,100,8,6,33.3,56,54,3.7,-15.2,36.6,NA,2024-08-18,Other/Mixed Category
1,Housing System Crimes,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,2024-08-18,Other/Mixed Category
1,Petty Theft,67,108,-38,290,367,-21,2433,2491,-2.3,-1.9,122,NA,2024-08-18,Property
1,Retail Theft,62,105,-41,275,362,-24,2364,2516,-6,-5.7,NA,NA,2024-08-18,Other/Mixed Category
1,Misdemeanor Assault,12,12,0,35,43,-18.6,287,246,16.7,27,80.5,NA,2024-08-18,Violent
1,Rape (FBI/UCR Definition),0,0,NA,3,1,200,13,13,0,-35,NA,NA,2024-08-18,Violent
1,Other Sex Crimes,2,5,-60,10,11,-9.1,72,61,18,-1.4,NA,NA,2024-08-18,Other/Mixed Category
1,Shooting Victims,0,0,NA,0,0,NA,3,0,NA,50,-40,-25,2024-08-18,Other/Mixed Category
1,Shooting Incidents,0,0,NA,0,0,NA,3,0,NA,50,0,-25,2024-08-18,Other/Mixed Category
5,Murder,0,1,-100,0,2,-100,0,4,-100,-100,NA,-100,2024-08-18,Violent
5,Rape,0,0,NA,1,0,NA,6,3,100,-45.5,50,20,2024-08-18,Violent
5,Robbery,3,2,50,22,7,214.3,95,82,15.9,106.5,61,-81.6,2024-08-18,Property
5,Felony Assault,0,7,-100,16,18,-11.1,127,130,-2.3,-2.3,47.7,-32.8,2024-08-18,Violent
