precinct,crime,lastweek2023,lastweek2022,week_pct_change,lastmonth2023,lastmonth2022,month_pct_change,yeartodate2023,yeartodate2022,yeartodate_pct_change,ytd_2yr_pct_change,ytd_13yr_pct_change,ytd_30yr_pct_change,lastdate,type
1,Murder,0,0,NA,0,0,NA,0,0,NA,-100,-100,-100,2023-12-31,Violent
1,Rape,0,0,NA,0,0,NA,17,21,-19,13.3,325,54.5,2023-12-31,Violent
1,Robbery,5,1,400,10,7,42.9,132,135,-2.2,-2.2,37.5,-84.8,2023-12-31,Property
1,Felony Assault,1,1,0,15,5,200,147,131,12.2,21.5,113,-21,2023-12-31,Violent
1,Burglary,6,2,200,13,18,-27.8,201,260,-22.7,4.1,17.5,-77.9,2023-12-31,Property
1,Grand Larceny,18,21,-14.3,102,87,17.2,1308,1231,6.3,53.5,22.6,-66.2,2023-12-31,Property
1,Motor Vehicle Theft,1,0,NA,8,2,300,78,72,8.3,14.7,105.3,-91.3,2023-12-31,Property
1,Total Major Felonies,31,25,24,148,119,24.4,1883,1850,1.8,35.9,30.1,-72.1,2023-12-31,Combined Total
1,Transit System Crimes,2,0,NA,11,6,83.3,111,95,16.8,38.8,56.3,NA,2023-12-31,Other/Mixed Category
1,Housing System Crimes,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,2023-12-31,Other/Mixed Category
1,Petty Theft,77,82,-6.1,333,329,1.2,4205,4058,3.6,81,147.1,NA,2023-12-31,Property
1,Misdemeanor Assault,7,6,16.7,32,34,-5.9,415,377,10.1,13.7,50.9,NA,2023-12-31,Violent
1,Rape (FBI/UCR Definition),0,0,NA,0,0,NA,20,28,-28.6,5.3,NA,NA,2023-12-31,Violent
1,Other Sex Crimes,3,1,200,5,4,25,98,114,-14,16.7,NA,NA,2023-12-31,Other/Mixed Category
1,Shooting Victims,0,0,NA,0,0,NA,0,2,-100,NA,-100,-100,2023-12-31,Other/Mixed Category
1,Shooting Incidents,0,0,NA,0,0,NA,0,2,-100,NA,-100,-100,2023-12-31,Other/Mixed Category
1,Hate Crimes,0,0,NA,1,0,NA,18,15,20,0,NA,NA,2023-12-31,Other/Mixed Category
5,Murder,0,0,NA,0,1,-100,6,4,50,20,500,-40,2023-12-31,Violent
5,Rape,0,0,NA,0,0,NA,6,16,-62.5,-70,-40,-50,2023-12-31,Violent
5,Robbery,3,1,200,6,7,-14.3,116,103,12.6,56.8,9.4,-86,2023-12-31,Property
5,Felony Assault,1,4,-75,8,13,-38.5,190,217,-12.4,27.5,46.2,-37.3,2023-12-31,Violent
5,Burglary,4,1,300,17,5,240,172,169,1.8,53.6,35.4,-78.1,2023-12-31,Property
5,Grand Larceny,7,12,-41.7,51,61,-16.4,718,639,12.4,70.1,22.1,-54.8,2023-12-31,Property
5,Motor Vehicle Theft,1,0,NA,3,2,50,43,30,43.3,38.7,186.7,-87.2,2023-12-31,Property
5,Total Major Felonies,16,18,-11.1,85,89,-4.5,1251,1178,6.2,53.9,28,-67.6,2023-12-31,Combined Total
5,Transit System Crimes,1,2,-50,3,9,-66.7,42,78,-46.2,-20.8,-32.3,NA,2023-12-31,Other/Mixed Category
5,Housing System Crimes,0,1,-100,4,3,33.3,40,53,-24.5,5.3,0,NA,2023-12-31,Other/Mixed Category
5,Petty Theft,33,16,106.2,113,71,59.2,1105,964,14.6,65.9,-12.5,NA,2023-12-31,Property
5,Misdemeanor Assault,6,6,0,38,26,46.2,388,383,1.3,22,37.6,NA,2023-12-31,Violent
5,Rape (FBI/UCR Definition),0,0,NA,0,1,-100,12,30,-60,-55.6,NA,NA,2023-12-31,Violent
5,Other Sex Crimes,1,3,-66.7,4,14,-71.4,64,111,-42.3,-40.2,NA,NA,2023-12-31,Other/Mixed Category
5,Shooting Victims,0,0,NA,1,1,0,8,7,14.3,300,700,-66.7,2023-12-31,Other/Mixed Category
5,Shooting Incidents,0,0,NA,1,1,0,8,7,14.3,300,700,-65.2,2023-12-31,Other/Mixed Category
5,Hate Crimes,0,0,NA,0,2,-100,11,13,-15.4,37.5,NA,NA,2023-12-31,Other/Mixed Category
6,Murder,0,0,NA,0,1,-100,1,3,-66.7,NA,0,0,2023-12-31,Violent
6,Rape,1,0,NA,1,0,NA,9,13,-30.8,-30.8,-30.8,-25,2023-12-31,Violent
6,Robbery,2,4,-50,14,12,16.7,195,249,-21.7,2.6,30.9,-77.4,2023-12-31,Property
6,Felony Assault,2,3,-33.3,9,9,0,194,182,6.6,10.9,106.4,-36.8,2023-12-31,Violent
6,Burglary,5,7,-28.6,22,27,-18.5,293,433,-32.3,21.1,66.5,-63.8,2023-12-31,Property
6,Grand Larceny,21,9,133.3,104,93,11.8,1325,1378,-3.8,50.6,25.5,-48.5,2023-12-31,Property
6,Motor Vehicle Theft,2,0,NA,4,3,33.3,49,58,-15.5,-10.9,8.9,-93.7,2023-12-31,Property
6,Total Major Felonies,33,23,43.5,154,145,6.2,2066,2316,-10.8,32.9,34.7,-61.3,2023-12-31,Combined Total
6,Transit System Crimes,0,1,-100,3,7,-57.1,43,48,-10.4,34.4,-17.3,NA,2023-12-31,Other/Mixed Category
6,Housing System Crimes,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,2023-12-31,Other/Mixed Category
6,Petty Theft,32,32,0,131,129,1.6,2072,1958,5.8,57,42.4,NA,2023-12-31,Property
6,Misdemeanor Assault,7,4,75,26,20,30,426,411,3.6,31.9,63.2,NA,2023-12-31,Violent
6,Rape (FBI/UCR Definition),2,0,NA,2,0,NA,17,18,-5.6,0,NA,NA,2023-12-31,Violent
6,Other Sex Crimes,2,0,NA,7,4,75,67,77,-13,-2.9,NA,NA,2023-12-31,Other/Mixed Category
6,Shooting Victims,0,0,NA,0,0,NA,0,0,NA,-100,-100,-100,2023-12-31,Other/Mixed Category
6,Shooting Incidents,0,0,NA,0,0,NA,0,0,NA,-100,-100,-100,2023-12-31,Other/Mixed Category
6,Hate Crimes,0,0,NA,1,0,NA,12,12,0,-14.3,NA,NA,2023-12-31,Other/Mixed Category
7,Murder,0,0,NA,0,0,NA,2,3,-33.3,-60,100,-81.8,2023-12-31,Violent
7,Rape,1,0,NA,1,0,NA,10,17,-41.2,11.1,-9.1,-50,2023-12-31,Violent
7,Robbery,2,4,-50,14,10,40,140,179,-21.8,18.6,7.7,-83,2023-12-31,Property
7,Felony Assault,3,3,0,16,15,6.7,212,211,0.5,3.4,66.9,-4.5,2023-12-31,Violent
7,Burglary,3,0,NA,8,8,0,170,157,8.3,32.8,68.3,-56.6,2023-12-31,Property
7,Grand Larceny,6,1,500,44,42,4.8,589,753,-21.8,-0.7,106.7,28.6,2023-12-31,Property
7,Motor Vehicle Theft,3,1,200,7,3,133.3,69,59,16.9,25.5,40.8,-82.7,2023-12-31,Property
7,Total Major Felonies,18,9,100,90,78,15.4,1192,1379,-13.6,7.1,69.3,-48.7,2023-12-31,Combined Total
7,Transit System Crimes,0,1,-100,4,3,33.3,23,27,-14.8,9.5,27.8,NA,2023-12-31,Other/Mixed Category
7,Housing System Crimes,0,2,-100,10,13,-23.1,167,175,-4.6,0,26.5,NA,2023-12-31,Other/Mixed Category
7,Petty Theft,22,13,69.2,121,104,16.3,1276,2175,-41.3,-24.6,72.9,NA,2023-12-31,Property
7,Misdemeanor Assault,13,7,85.7,32,31,3.2,449,449,0,37.3,35.6,NA,2023-12-31,Violent
7,Rape (FBI/UCR Definition),1,0,NA,1,2,-50,19,28,-32.1,11.8,NA,NA,2023-12-31,Violent
7,Other Sex Crimes,2,1,100,9,2,350,55,48,14.6,22.2,NA,NA,2023-12-31,Other/Mixed Category
7,Shooting Victims,0,0,NA,0,0,NA,9,10,-10,12.5,28.6,-57.1,2023-12-31,Other/Mixed Category
7,Shooting Incidents,0,0,NA,0,0,NA,8,8,0,14.3,100,-55.6,2023-12-31,Other/Mixed Category
7,Hate Crimes,0,0,NA,0,0,NA,5,12,-58.3,-66.7,NA,NA,2023-12-31,Other/Mixed Category
9,Murder,0,0,NA,0,1,-100,1,7,-85.7,-66.7,-75,-94.1,2023-12-31,Violent
9,Rape,0,0,NA,0,1,-100,18,19,-5.3,-10,28.6,-52.6,2023-12-31,Violent
9,Robbery,1,1,0,14,12,16.7,188,222,-15.3,2.7,-0.5,-81.2,2023-12-31,Property
