precinct,crime,lastweek2024,lastweek2023,week_pct_change,lastmonth2024,lastmonth2023,month_pct_change,yeartodate2024,yeartodate2023,yeartodate_pct_change,ytd_2yr_pct_change,ytd_14yr_pct_change,ytd_31yr_pct_change,lastdate,type
1,Murder,0,0,NA,0,0,NA,0,0,NA,-100,NA,-100,2026-03-01,Violent
1,Rape,0,0,NA,0,3,-100,0,5,-100,-100,NA,-100,2026-03-01,Violent
1,Robbery,0,6,-100,4,15,-73.3,20,21,-4.8,-20,150,-87.5,2026-03-01,Property
1,Felony Assault,6,4,50,21,11,90.9,39,17,129.4,56,290,56,2026-03-01,Violent
1,Burglary,5,1,400,12,13,-7.7,24,26,-7.7,-46.7,-36.8,-83.3,2026-03-01,Property
1,Grand Larceny,11,29,-62.1,73,106,-31.1,178,201,-11.4,6,0,-67.5,2026-03-01,Property
1,Motor Vehicle Theft,0,1,-100,5,3,66.7,6,4,50,100,200,-96.1,2026-03-01,Property
1,Total Major Felonies,22,41,-46.3,115,151,-23.8,267,274,-2.6,-1.5,13.1,-74.3,2026-03-01,Combined Total
1,Transit System Crimes,0,2,-100,1,10,-90,3,14,-78.6,-75,-76.9,NA,2026-03-01,Other/Mixed Category
1,Housing System Crimes,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,2026-03-01,Other/Mixed Category
1,Petty Theft,47,76,-38.2,182,289,-37,422,589,-28.4,-36.7,84.3,NA,2026-03-01,Property
1,Retail Theft,46,83,-44.6,170,300,-43.3,421,592,-28.9,-36.7,NA,NA,2026-03-01,Other/Mixed Category
1,Misdemeanor Assault,5,2,150,34,24,41.7,58,67,-13.4,0,65.7,NA,2026-03-01,Violent
1,Rape (FBI/UCR Definition),0,1,-100,0,4,-100,0,6,-100,-100,NA,NA,2026-03-01,Violent
1,Other Sex Crimes,0,0,NA,3,6,-50,10,8,25,-33.3,NA,NA,2026-03-01,Other/Mixed Category
1,Shooting Victims,0,0,NA,0,0,NA,0,0,NA,NA,NA,-100,2026-03-01,Other/Mixed Category
1,Shooting Incidents,0,0,NA,0,0,NA,0,0,NA,NA,NA,-100,2026-03-01,Other/Mixed Category
5,Murder,0,0,NA,0,0,NA,0,0,NA,NA,NA,-100,2026-03-01,Violent
5,Rape,0,0,NA,1,2,-50,2,3,-33.3,NA,100,0,2026-03-01,Violent
5,Robbery,4,6,-33.3,6,9,-33.3,26,21,23.8,85.7,62.5,-74.8,2026-03-01,Property
5,Felony Assault,1,2,-50,14,11,27.3,34,19,78.9,-5.6,78.9,-15,2026-03-01,Violent
5,Burglary,4,1,300,19,8,137.5,33,16,106.2,10,-2.9,-75.9,2026-03-01,Property
5,Grand Larceny,15,17,-11.8,52,57,-8.8,113,121,-6.6,-12.4,25.6,-49.6,2026-03-01,Property
5,Motor Vehicle Theft,0,0,NA,0,4,-100,1,5,-80,-87.5,-66.7,-98.5,2026-03-01,Property
5,Total Major Felonies,24,26,-7.7,92,91,1.1,209,185,13,-3.7,28.2,-63.6,2026-03-01,Combined Total
5,Transit System Crimes,0,4,-100,4,9,-55.6,13,12,8.3,30,116.7,NA,2026-03-01,Other/Mixed Category
5,Housing System Crimes,2,0,NA,5,4,25,8,9,-11.1,-27.3,60,NA,2026-03-01,Other/Mixed Category
5,Petty Theft,19,13,46.2,96,76,26.3,180,218,-17.4,-20,11.1,NA,2026-03-01,Property
5,Retail Theft,14,11,27.3,67,55,21.8,128,168,-23.8,-33.7,NA,NA,2026-03-01,Other/Mixed Category
5,Misdemeanor Assault,10,6,66.7,37,29,27.6,61,57,7,5.2,69.4,NA,2026-03-01,Violent
5,Rape (FBI/UCR Definition),1,0,NA,4,2,100,6,3,100,200,NA,NA,2026-03-01,Violent
5,Other Sex Crimes,2,1,100,6,5,20,14,7,100,75,NA,NA,2026-03-01,Other/Mixed Category
5,Shooting Victims,0,0,NA,0,0,NA,0,0,NA,NA,NA,-100,2026-03-01,Other/Mixed Category
5,Shooting Incidents,0,0,NA,0,0,NA,0,0,NA,NA,NA,-100,2026-03-01,Other/Mixed Category
6,Murder,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,2026-03-01,Violent
6,Rape,0,0,NA,0,0,NA,0,1,-100,NA,-100,-100,2026-03-01,Violent
6,Robbery,2,3,-33.3,7,10,-30,15,15,0,-34.8,-48.3,-88.9,2026-03-01,Property
6,Felony Assault,2,1,100,10,7,42.9,19,15,26.7,0,72.7,-32.1,2026-03-01,Violent
6,Burglary,4,4,0,12,14,-14.3,42,27,55.6,2.4,2.4,-64.7,2026-03-01,Property
6,Grand Larceny,15,17,-11.8,54,65,-16.9,119,145,-17.9,-27.4,-20.1,-67.3,2026-03-01,Property
6,Motor Vehicle Theft,1,0,NA,2,1,100,5,2,150,-16.7,0,-96.2,2026-03-01,Property
6,Total Major Felonies,24,25,-4,85,97,-12.4,200,205,-2.4,-20.9,-15.3,-74.4,2026-03-01,Combined Total
6,Transit System Crimes,0,1,-100,4,8,-50,10,12,-16.7,11.1,-41.2,NA,2026-03-01,Other/Mixed Category
6,Housing System Crimes,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,2026-03-01,Other/Mixed Category
6,Petty Theft,17,24,-29.2,96,108,-11.1,199,236,-15.7,-24.3,-15,NA,2026-03-01,Property
6,Retail Theft,15,22,-31.8,73,88,-17,128,175,-26.9,-41.3,NA,NA,2026-03-01,Other/Mixed Category
6,Misdemeanor Assault,6,10,-40,16,30,-46.7,47,51,-7.8,-16.1,51.6,NA,2026-03-01,Violent
6,Rape (FBI/UCR Definition),0,0,NA,0,0,NA,2,1,100,100,NA,NA,2026-03-01,Violent
6,Other Sex Crimes,0,5,-100,2,9,-77.8,6,16,-62.5,-53.8,NA,NA,2026-03-01,Other/Mixed Category
6,Shooting Victims,0,0,NA,0,0,NA,0,0,NA,NA,NA,-100,2026-03-01,Other/Mixed Category
6,Shooting Incidents,0,0,NA,0,0,NA,0,0,NA,NA,NA,-100,2026-03-01,Other/Mixed Category
7,Murder,0,0,NA,0,1,-100,0,2,-100,NA,-100,-100,2026-03-01,Violent
7,Rape,0,0,NA,0,0,NA,1,1,0,-50,-50,0,2026-03-01,Violent
7,Robbery,1,5,-80,6,11,-45.5,11,18,-38.9,-15.4,-42.1,-91.5,2026-03-01,Property
7,Felony Assault,5,6,-16.7,12,20,-40,30,33,-9.1,-23.1,87.5,36.4,2026-03-01,Violent
7,Burglary,2,2,0,14,13,7.7,23,24,-4.2,15,187.5,-60.3,2026-03-01,Property
7,Grand Larceny,8,4,100,29,25,16,75,61,23,36.4,127.3,31.6,2026-03-01,Property
7,Motor Vehicle Theft,0,0,NA,1,0,NA,1,1,0,-90,-87.5,-98.5,2026-03-01,Property
7,Total Major Felonies,16,17,-5.9,62,70,-11.4,141,140,0.7,1.4,62.1,-57.9,2026-03-01,Combined Total
7,Transit System Crimes,1,0,NA,2,2,0,7,3,133.3,600,250,NA,2026-03-01,Other/Mixed Category
7,Housing System Crimes,4,5,-20,16,12,33.3,35,26,34.6,20.7,52.2,NA,2026-03-01,Other/Mixed Category
7,Petty Theft,15,19,-21.1,76,83,-8.4,177,171,3.5,0.6,78.8,NA,2026-03-01,Property
7,Retail Theft,10,14,-28.6,45,54,-16.7,97,99,-2,-11,NA,NA,2026-03-01,Other/Mixed Category
7,Misdemeanor Assault,9,8,12.5,29,35,-17.1,59,69,-14.5,-23.4,31.1,NA,2026-03-01,Violent
7,Rape (FBI/UCR Definition),0,0,NA,0,0,NA,1,1,0,-75,NA,NA,2026-03-01,Violent
7,Other Sex Crimes,0,1,-100,3,4,-25,3,8,-62.5,-25,NA,NA,2026-03-01,Other/Mixed Category
7,Shooting Victims,0,0,NA,0,1,-100,0,1,-100,NA,-100,-100,2026-03-01,Other/Mixed Category
7,Shooting Incidents,0,0,NA,0,1,-100,0,1,-100,NA,-100,-100,2026-03-01,Other/Mixed Category
9,Murder,0,1,-100,0,1,-100,0,1,-100,NA,NA,-100,2026-03-01,Violent
9,Rape,0,0,NA,1,0,NA,3,0,NA,0,200,-57.1,2026-03-01,Violent
9,Robbery,1,3,-66.7,5,7,-28.6,10,17,-41.2,-58.3,-47.4,-92.5,2026-03-01,Property
9,Felony Assault,2,8,-75,13,16,-18.8,30,33,-9.1,-6.2,57.9,-66.3,2026-03-01,Violent
9,Burglary,0,3,-100,7,13,-46.2,16,30,-46.7,-44.8,-70.9,-89.7,2026-03-01,Property
9,Grand Larceny,12,15,-20,47,54,-13,100,112,-10.7,-18,-22.5,-56.7,2026-03-01,Property
9,Motor Vehicle Theft,1,0,NA,3,2,50,3,8,-62.5,0,-40,-96.5,2026-03-01,Property
9,Total Major Felonies,16,30,-46.7,76,93,-18.3,162,201,-19.4,-23.9,-28.9,-77,2026-03-01,Combined Total
9,Transit System Crimes,0,0,NA,0,0,NA,1,3,-66.7,-75,-66.7,NA,2026-03-01,Other/Mixed Category
9,Housing System Crimes,2,2,0,6,4,50,19,18,5.6,111.1,5.6,NA,2026-03-01,Other/Mixed Category
9,Petty Theft,21,18,16.7,106,91,16.5,236,221,6.8,15.1,-2.9,NA,2026-03-01,Property
9,Retail Theft,6,11,-45.5,56,49,14.3,128,105,21.9,24.3,NA,NA,2026-03-01,Other/Mixed Category
9,Misdemeanor Assault,5,9,-44.4,30,26,15.4,64,57,12.3,10.3,-11.1,NA,2026-03-01,Violent
9,Rape (FBI/UCR Definition),0,0,NA,1,0,NA,3,0,NA,-25,NA,NA,2026-03-01,Violent
9,Other Sex Crimes,0,1,-100,2,4,-50,3,10,-70,-66.7,NA,NA,2026-03-01,Other/Mixed Category
9,Shooting Victims,0,1,-100,0,1,-100,0,1,-100,NA,NA,-100,2026-03-01,Other/Mixed Category
9,Shooting Incidents,0,1,-100,0,1,-100,0,1,-100,NA,NA,-100,2026-03-01,Other/Mixed Category
10,Murder,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,2026-03-01,Violent
10,Rape,0,0,NA,3,1,200,4,2,100,33.3,NA,0,2026-03-01,Violent
10,Robbery,0,2,-100,3,9,-66.7,10,17,-41.2,-41.2,-23.1,-89.1,2026-03-01,Property
10,Felony Assault,1,4,-75,8,13,-38.5,16,26,-38.5,6.7,-36,-59,2026-03-01,Violent
10,Burglary,0,6,-100,6,10,-40,10,17,-41.2,-37.5,-54.5,-85.7,2026-03-01,Property
10,Grand Larceny,5,13,-61.5,30,44,-31.8,73,96,-24,-33.6,-29.1,-45.1,2026-03-01,Property
10,Motor Vehicle Theft,0,0,NA,1,0,NA,2,2,0,-81.8,-60,-97.7,2026-03-01,Property
10,Total Major Felonies,6,25,-76,51,77,-33.8,115,160,-28.1,-33.1,-31.5,-72.9,2026-03-01,Combined Total
10,Transit System Crimes,0,2,-100,3,3,0,4,6,-33.3,-50,300,NA,2026-03-01,Other/Mixed Category
10,Housing System Crimes,0,1,-100,4,5,-20,8,10,-20,14.3,33.3,NA,2026-03-01,Other/Mixed Category
10,Petty Theft,15,6,150,67,45,48.9,139,118,17.8,40.4,13.9,NA,2026-03-01,Property
10,Retail Theft,6,3,100,36,29,24.1,85,61,39.3,88.9,NA,NA,2026-03-01,Other/Mixed Category
10,Misdemeanor Assault,8,5,60,22,21,4.8,53,40,32.5,-10.2,8.2,NA,2026-03-01,Violent
10,Rape (FBI/UCR Definition),0,0,NA,3,1,200,4,2,100,-20,NA,NA,2026-03-01,Violent
10,Other Sex Crimes,0,1,-100,3,4,-25,8,7,14.3,-11.1,NA,NA,2026-03-01,Other/Mixed Category
10,Shooting Victims,0,0,NA,0,1,-100,0,1,-100,NA,NA,-100,2026-03-01,Other/Mixed Category
10,Shooting Incidents,0,0,NA,0,1,-100,0,1,-100,NA,NA,-100,2026-03-01,Other/Mixed Category
13,Murder,0,0,NA,0,0,NA,0,0,NA,-100,NA,-100,2026-03-01,Violent
13,Rape,1,0,NA,3,0,NA,6,1,500,500,200,100,2026-03-01,Violent
13,Robbery,2,1,100,8,12,-33.3,18,25,-28,-35.7,-37.9,-87.8,2026-03-01,Property
13,Felony Assault,4,3,33.3,19,20,-5,37,28,32.1,42.3,146.7,5.7,2026-03-01,Violent
13,Burglary,10,4,150,23,20,15,76,81,-6.2,81,24.6,-75.2,2026-03-01,Property
13,Grand Larceny,21,13,61.5,91,66,37.9,190,161,18,23.4,-13.6,-55.7,2026-03-01,Property
13,Motor Vehicle Theft,1,0,NA,2,0,NA,4,3,33.3,0,-20,-98.2,2026-03-01,Property
13,Total Major Felonies,39,21,85.7,146,118,23.7,331,299,10.7,29.3,-0.3,-71,2026-03-01,Combined Total
13,Transit System Crimes,2,1,100,10,5,100,17,14,21.4,6.2,41.7,NA,2026-03-01,Other/Mixed Category
13,Housing System Crimes,1,1,0,4,6,-33.3,7,6,16.7,600,75,NA,2026-03-01,Other/Mixed Category
