precinct,crime,lastweek2022,lastweek2021,week_pct_change,lastmonth2022,lastmonth2021,month_pct_change,yeartodate2022,yeartodate2021,yeartodate_pct_change,ytd_2yr_pct_change,ytd_12yr_pct_change,ytd_29yr_pct_change,lastdate,type
1,Murder,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,2023-01-22,Violent
1,Rape,0,1,-100,0,1,-100,0,1,-100,NA,NA,-100,2023-01-22,Violent
1,Robbery,4,3,33.3,11,7,57.1,10,5,100,100,233.3,-81.8,2023-01-22,Property
1,Felony Assault,1,4,-75,7,5,40,6,4,50,-45.5,100,-40,2023-01-22,Violent
1,Burglary,2,5,-60,10,24,-58.3,8,17,-52.9,-33.3,-50,-86.4,2023-01-22,Property
1,Grand Larceny,23,21,9.5,86,79,8.9,66,63,4.8,112.9,8.2,-69.3,2023-01-22,Property
1,Motor Vehicle Theft,1,0,NA,3,0,NA,3,0,NA,0,NA,-94.5,2023-01-22,Property
1,Total Major Felonies,31,34,-8.8,117,116,0.9,93,90,3.3,50,12,-76.5,2023-01-22,Combined Total
1,Transit System Crimes,2,1,100,6,5,20,6,4,50,50,0,NA,2023-01-22,Other/Mixed Category
1,Housing System Crimes,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,2023-01-22,Other/Mixed Category
1,Petty Theft,60,65,-7.7,302,258,17.1,220,196,12.2,93,117.8,NA,2023-01-22,Property
1,Misdemeanor Assault,8,8,0,25,19,31.6,19,15,26.7,111.1,111.1,NA,2023-01-22,Violent
1,Rape (FBI/UCR Definition),0,1,-100,0,1,-100,0,1,-100,NA,NA,NA,2023-01-22,Violent
1,Other Sex Crimes,2,1,100,7,3,133.3,6,2,200,50,NA,NA,2023-01-22,Other/Mixed Category
1,Shooting Victims,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,2023-01-22,Other/Mixed Category
1,Shooting Incidents,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,2023-01-22,Other/Mixed Category
1,Hate Crimes,0,2,-100,0,3,-100,0,3,-100,NA,NA,NA,2023-01-22,Other/Mixed Category
5,Murder,0,0,NA,0,0,NA,0,0,NA,NA,NA,-100,2023-01-22,Violent
5,Rape,0,1,-100,0,4,-100,0,3,-100,NA,-100,-100,2023-01-22,Violent
5,Robbery,2,0,NA,7,2,250,6,1,500,50,-14.3,-82.4,2023-01-22,Property
5,Felony Assault,2,3,-33.3,15,12,25,11,11,0,120,57.1,-21.4,2023-01-22,Violent
5,Burglary,3,4,-25,6,9,-33.3,6,9,-33.3,20,-60,-90,2023-01-22,Property
5,Grand Larceny,9,10,-10,45,33,36.4,33,29,13.8,32,3.1,-60.2,2023-01-22,Property
5,Motor Vehicle Theft,0,1,-100,3,1,200,3,1,200,NA,NA,-88.9,2023-01-22,Property
5,Total Major Felonies,16,19,-15.8,76,61,24.6,59,54,9.3,51.3,-4.8,-73.2,2023-01-22,Combined Total
5,Transit System Crimes,0,3,-100,2,4,-50,0,4,-100,-100,-100,NA,2023-01-22,Other/Mixed Category
5,Housing System Crimes,2,0,NA,4,1,300,3,1,200,200,0,NA,2023-01-22,Other/Mixed Category
5,Petty Theft,14,23,-39.1,70,72,-2.8,54,61,-11.5,80,-22.9,NA,2023-01-22,Property
5,Misdemeanor Assault,6,2,200,21,19,10.5,17,11,54.5,30.8,21.4,NA,2023-01-22,Violent
5,Rape (FBI/UCR Definition),0,1,-100,0,4,-100,0,3,-100,-100,NA,NA,2023-01-22,Violent
5,Other Sex Crimes,2,1,100,6,2,200,3,2,50,200,NA,NA,2023-01-22,Other/Mixed Category
5,Shooting Victims,1,0,NA,1,0,NA,1,0,NA,NA,NA,0,2023-01-22,Other/Mixed Category
5,Shooting Incidents,1,0,NA,1,0,NA,1,0,NA,NA,NA,0,2023-01-22,Other/Mixed Category
5,Hate Crimes,0,1,-100,0,1,-100,0,1,-100,NA,NA,NA,2023-01-22,Other/Mixed Category
6,Murder,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,2023-01-22,Violent
6,Rape,0,0,NA,1,2,-50,1,2,-50,NA,NA,0,2023-01-22,Violent
6,Robbery,1,4,-75,16,13,23.1,13,11,18.2,18.2,-7.1,-78,2023-01-22,Property
