precinct,crime,lastweek2023,lastweek2022,week_pct_change,lastmonth2023,lastmonth2022,month_pct_change,yeartodate2023,yeartodate2022,yeartodate_pct_change,ytd_2yr_pct_change,ytd_13yr_pct_change,ytd_30yr_pct_change,lastdate,type
1,Murder,0,0,NA,0,0,NA,0,0,NA,-100,-100,-100,2023-07-23,Violent
1,Rape,0,0,NA,2,3,-33.3,10,13,-23.1,0,400,25,2023-07-23,Violent
1,Robbery,10,0,NA,19,12,58.3,80,78,2.6,50.9,95.1,-83.1,2023-07-23,Property
1,Felony Assault,4,3,33.3,11,15,-26.7,72,76,-5.3,4.3,100,-27.3,2023-07-23,Violent
1,Burglary,1,5,-80,11,24,-54.2,105,158,-33.5,64.1,5,-77.8,2023-07-23,Property
1,Grand Larceny,25,27,-7.4,98,92,6.5,655,676,-3.1,73.7,10.8,-68.6,2023-07-23,Property
1,Motor Vehicle Theft,2,1,100,3,6,-50,37,37,0,32.1,94.7,-92.6,2023-07-23,Property
1,Total Major Felonies,42,36,16.7,144,152,-5.3,959,1038,-7.6,59,21.4,-73.7,2023-07-23,Combined Total
1,Transit System Crimes,3,0,NA,11,7,57.1,49,61,-19.7,25.6,25.6,NA,2023-07-23,Other/Mixed Category
1,Housing System Crimes,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,2023-07-23,Other/Mixed Category
1,Petty Theft,85,67,26.9,318,306,3.9,2145,2200,-2.5,94.3,120.9,NA,2023-07-23,Property
1,Misdemeanor Assault,7,9,-22.2,32,37,-13.5,205,197,4.1,13.9,46.4,NA,2023-07-23,Violent
1,Rape (FBI/UCR Definition),0,0,NA,2,5,-60,12,18,-33.3,9.1,NA,NA,2023-07-23,Violent
1,Other Sex Crimes,5,0,NA,10,8,25,52,58,-10.3,15.6,NA,NA,2023-07-23,Other/Mixed Category
1,Shooting Victims,0,0,NA,0,1,-100,0,2,-100,NA,-100,-100,2023-07-23,Other/Mixed Category
1,Shooting Incidents,0,0,NA,0,1,-100,0,2,-100,NA,-100,-100,2023-07-23,Other/Mixed Category
1,Hate Crimes,0,0,NA,0,1,-100,4,11,-63.6,-50,NA,NA,2023-07-23,Other/Mixed Category
5,Murder,0,0,NA,0,0,NA,2,3,-33.3,-33.3,NA,-50,2023-07-23,Violent
5,Rape,0,0,NA,1,2,-50,3,9,-66.7,-66.7,0,-40,2023-07-23,Violent
5,Robbery,3,3,0,6,6,0,75,40,87.5,127.3,47.1,-82.8,2023-07-23,Property
5,Felony Assault,3,3,0,15,19,-21.1,112,115,-2.6,33.3,38.3,-34.5,2023-07-23,Violent
5,Burglary,4,4,0,10,24,-58.3,84,99,-15.2,68,21.7,-80.3,2023-07-23,Property
5,Grand Larceny,13,14,-7.1,52,59,-11.9,382,334,14.4,99,35,-55.7,2023-07-23,Property
5,Motor Vehicle Theft,2,1,100,7,2,250,28,16,75,40,211.1,-83.8,2023-07-23,Property
5,Total Major Felonies,25,25,0,91,112,-18.8,686,616,11.4,75.4,38.3,-67,2023-07-23,Combined Total
5,Transit System Crimes,0,1,-100,3,5,-40,21,45,-53.3,-22.2,-22.2,NA,2023-07-23,Other/Mixed Category
5,Housing System Crimes,1,1,0,6,3,100,22,26,-15.4,0,22.2,NA,2023-07-23,Other/Mixed Category
5,Petty Theft,18,14,28.6,66,61,8.2,569,435,30.8,60.3,-9.5,NA,2023-07-23,Property
5,Misdemeanor Assault,6,5,20,32,23,39.1,196,200,-2,21.7,28.1,NA,2023-07-23,Violent
5,Rape (FBI/UCR Definition),0,0,NA,1,3,-66.7,8,14,-42.9,-33.3,NA,NA,2023-07-23,Violent
5,Other Sex Crimes,1,4,-75,6,12,-50,39,61,-36.1,-26.4,NA,NA,2023-07-23,Other/Mixed Category
5,Shooting Victims,0,0,NA,1,1,0,6,6,0,500,NA,-53.8,2023-07-23,Other/Mixed Category
5,Shooting Incidents,0,0,NA,1,1,0,6,6,0,500,NA,-50,2023-07-23,Other/Mixed Category
5,Hate Crimes,0,0,NA,0,1,-100,5,9,-44.4,-28.6,NA,NA,2023-07-23,Other/Mixed Category
6,Murder,0,0,NA,0,1,-100,1,2,-50,NA,NA,NA,2023-07-23,Violent
6,Rape,0,1,-100,0,2,-100,4,9,-55.6,-33.3,-33.3,-42.9,2023-07-23,Violent
6,Robbery,4,3,33.3,15,17,-11.8,103,131,-21.4,10.8,39.2,-77.7,2023-07-23,Property
6,Felony Assault,2,1,100,20,13,53.8,118,95,24.2,18,131.4,-26.7,2023-07-23,Violent
6,Burglary,6,11,-45.5,19,36,-47.2,169,248,-31.9,49.6,56.5,-62.4,2023-07-23,Property
6,Grand Larceny,21,40,-47.5,101,150,-32.7,683,717,-4.7,99.1,17,-48.7,2023-07-23,Property
