precinct,crime,lastweek2024,lastweek2023,week_pct_change,lastmonth2024,lastmonth2023,month_pct_change,yeartodate2024,yeartodate2023,yeartodate_pct_change,ytd_2yr_pct_change,ytd_14yr_pct_change,ytd_31yr_pct_change,lastdate,type
1,Murder,0,0,NA,1,0,NA,2,0,NA,NA,NA,-75,2024-06-02,Violent
1,Rape,0,0,NA,1,0,NA,8,5,60,0,NA,33.3,2024-06-02,Violent
1,Robbery,5,2,150,13,10,30,57,51,11.8,-6.6,90,-84,2024-06-02,Property
1,Felony Assault,3,1,200,25,9,177.8,82,54,51.9,67.3,228,12.3,2024-06-02,Violent
1,Burglary,7,1,600,21,24,-12.5,98,83,18.1,-17.6,27.3,-72.7,2024-06-02,Property
1,Grand Larceny,22,14,57.1,85,89,-4.5,451,474,-4.9,-10.3,1.3,-69.7,2024-06-02,Property
1,Motor Vehicle Theft,1,1,0,2,5,-60,12,26,-53.8,-52,9.1,-96.8,2024-06-02,Property
1,Total Major Felonies,38,19,100,148,137,8,710,693,2.5,-7.2,20.7,-73.4,2024-06-02,Combined Total
1,Transit System Crimes,3,1,200,10,3,233.3,35,33,6.1,-27.1,20.7,NA,2024-06-02,Other/Mixed Category
1,Housing System Crimes,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,2024-06-02,Other/Mixed Category
1,Petty Theft,57,75,-24,262,310,-15.5,1671,1594,4.8,2,134,NA,2024-06-02,Property
1,Retail Theft,58,65,-10.8,257,300,-14.3,1657,1598,3.7,-0.5,NA,NA,2024-06-02,Other/Mixed Category
1,Misdemeanor Assault,8,9,-11.1,43,39,10.3,193,153,26.1,35,78.7,NA,2024-06-02,Violent
1,Rape (FBI/UCR Definition),0,0,NA,1,0,NA,9,7,28.6,-18.2,NA,NA,2024-06-02,Violent
1,Other Sex Crimes,1,3,-66.7,10,5,100,42,36,16.7,2.4,NA,NA,2024-06-02,Other/Mixed Category
1,Shooting Victims,0,0,NA,2,0,NA,2,0,NA,100,NA,-50,2024-06-02,Other/Mixed Category
1,Shooting Incidents,0,0,NA,2,0,NA,2,0,NA,100,NA,-50,2024-06-02,Other/Mixed Category
5,Murder,0,0,NA,0,0,NA,0,2,-100,-100,NA,-100,2024-06-02,Violent
5,Rape,0,0,NA,1,0,NA,3,2,50,-50,0,-25,2024-06-02,Violent
5,Robbery,4,0,NA,12,13,-7.7,48,60,-20,71.4,26.3,-84.4,2024-06-02,Property
5,Felony Assault,4,5,-20,17,17,0,87,84,3.6,2.4,40.3,-13,2024-06-02,Violent
5,Burglary,1,4,-75,8,10,-20,67,63,6.3,6.3,9.8,-79.4,2024-06-02,Property
5,Grand Larceny,7,13,-46.2,51,54,-5.6,289,285,1.4,27.3,41.7,-54.7,2024-06-02,Property
5,Motor Vehicle Theft,0,0,NA,2,4,-50,13,19,-31.6,18.2,116.7,-90.7,2024-06-02,Property
5,Total Major Felonies,16,22,-27.3,91,98,-7.1,507,515,-1.6,19.9,35.6,-66.6,2024-06-02,Combined Total
5,Transit System Crimes,1,1,0,6,3,100,22,12,83.3,-42.1,10,NA,2024-06-02,Other/Mixed Category
5,Housing System Crimes,1,0,NA,3,2,50,21,15,40,5,61.5,NA,2024-06-02,Other/Mixed Category
5,Petty Theft,25,21,19,115,73,57.5,527,437,20.6,60.2,17.9,NA,2024-06-02,Property
5,Retail Theft,22,12,83.3,96,52,84.6,435,293,48.5,256.6,NA,NA,2024-06-02,Other/Mixed Category
