precinct,crime,lastweek2024,lastweek2023,week_pct_change,lastmonth2024,lastmonth2023,month_pct_change,yeartodate2024,yeartodate2023,yeartodate_pct_change,ytd_2yr_pct_change,ytd_14yr_pct_change,ytd_31yr_pct_change,lastdate,type
1,Murder,0,0,NA,0,0,NA,2,0,NA,NA,NA,-75,2024-06-09,Violent
1,Rape,0,0,NA,0,0,NA,8,5,60,0,700,14.3,2024-06-09,Violent
1,Robbery,3,3,0,15,9,66.7,60,54,11.1,-1.6,76.5,-83.7,2024-06-09,Property
1,Felony Assault,9,1,800,29,7,314.3,91,55,65.5,75,264,15.2,2024-06-09,Violent
1,Burglary,8,2,300,27,23,17.4,106,85,24.7,-13.8,35.9,-71.5,2024-06-09,Property
1,Grand Larceny,23,29,-20.7,85,94,-9.6,474,503,-5.8,-10.7,2.2,-69.9,2024-06-09,Property
1,Motor Vehicle Theft,2,2,0,4,4,0,14,28,-50,-48.1,7.7,-96.4,2024-06-09,Property
1,Total Major Felonies,45,37,21.6,160,137,16.8,755,730,3.4,-5.9,22.8,-73,2024-06-09,Combined Total
1,Transit System Crimes,0,1,-100,8,4,100,35,34,2.9,-28.6,12.9,NA,2024-06-09,Other/Mixed Category
1,Housing System Crimes,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,2024-06-09,Other/Mixed Category
1,Petty Theft,72,86,-16.3,266,336,-20.8,1743,1680,3.8,1.5,129.9,NA,2024-06-09,Property
1,Retail Theft,62,91,-31.9,260,334,-22.2,1719,1689,1.8,-1.4,NA,NA,2024-06-09,Other/Mixed Category
1,Misdemeanor Assault,10,8,25,43,35,22.9,203,161,26.1,38.1,82.9,NA,2024-06-09,Violent
1,Rape (FBI/UCR Definition),0,0,NA,0,0,NA,9,7,28.6,-18.2,NA,NA,2024-06-09,Violent
1,Other Sex Crimes,1,2,-50,10,7,42.9,43,38,13.2,0,NA,NA,2024-06-09,Other/Mixed Category
1,Shooting Victims,0,0,NA,1,0,NA,2,0,NA,100,NA,-50,2024-06-09,Other/Mixed Category
1,Shooting Incidents,0,0,NA,1,0,NA,2,0,NA,100,NA,-50,2024-06-09,Other/Mixed Category
5,Murder,0,0,NA,0,0,NA,0,2,-100,-100,NA,-100,2024-06-09,Violent
5,Rape,0,0,NA,1,0,NA,3,2,50,-50,0,-25,2024-06-09,Violent
5,Robbery,5,2,150,16,10,60,53,62,-14.5,71,39.5,-83.7,2024-06-09,Property
5,Felony Assault,6,2,200,20,18,11.1,93,86,8.1,6.9,40.9,-14.7,2024-06-09,Violent
5,Burglary,1,8,-87.5,6,17,-64.7,68,71,-4.2,3,7.9,-79.7,2024-06-09,Property
5,Grand Larceny,9,16,-43.8,48,53,-9.4,304,301,1,29.4,42.1,-55.2,2024-06-09,Property
5,Motor Vehicle Theft,0,0,NA,2,2,0,13,19,-31.6,0,116.7,-91,2024-06-09,Property
5,Total Major Felonies,21,28,-25,93,100,-7,534,543,-1.7,21.1,36.9,-66.6,2024-06-09,Combined Total
5,Transit System Crimes,1,0,NA,4,3,33.3,23,12,91.7,-39.5,15,NA,2024-06-09,Other/Mixed Category
5,Housing System Crimes,0,1,-100,2,1,100,21,16,31.2,-4.5,61.5,NA,2024-06-09,Other/Mixed Category
5,Petty Theft,29,29,0,112,89,25.8,553,466,18.7,60.8,17.4,NA,2024-06-09,Property
5,Retail Theft,23,18,27.8,95,58,63.8,457,311,46.9,265.6,NA,NA,2024-06-09,Other/Mixed Category
5,Misdemeanor Assault,11,5,120,44,26,69.2,196,139,41,22.5,73.5,NA,2024-06-09,Violent
5,Rape (FBI/UCR Definition),0,0,NA,1,0,NA,11,7,57.1,22.2,NA,NA,2024-06-09,Violent
5,Other Sex Crimes,2,1,100,6,6,0,34,27,25.9,-19,NA,NA,2024-06-09,Other/Mixed Category
5,Shooting Victims,0,1,-100,0,2,-100,0,5,-100,-100,NA,-100,2024-06-09,Other/Mixed Category
5,Shooting Incidents,0,1,-100,0,2,-100,0,5,-100,-100,NA,-100,2024-06-09,Other/Mixed Category
6,Murder,0,0,NA,0,0,NA,0,0,NA,-100,NA,NA,2024-06-09,Violent
6,Rape,0,1,-100,0,1,-100,1,4,-75,-83.3,-80,-83.3,2024-06-09,Violent
6,Robbery,1,3,-66.7,13,15,-13.3,65,77,-15.6,-37.5,20.4,-81.9,2024-06-09,Property
6,Felony Assault,2,4,-50,20,18,11.1,54,79,-31.6,-19.4,45.9,-48.1,2024-06-09,Violent
6,Burglary,7,3,133.3,26,25,4,116,139,-16.5,-34.5,31.8,-65.4,2024-06-09,Property
6,Grand Larceny,26,25,4,81,83,-2.4,434,518,-16.2,-12,1.9,-57.2,2024-06-09,Property
6,Motor Vehicle Theft,1,0,NA,2,0,NA,18,12,50,-18.2,0,-94.8,2024-06-09,Property
6,Total Major Felonies,37,36,2.8,142,142,0,688,829,-17,-20.9,9.6,-68.2,2024-06-09,Combined Total
6,Transit System Crimes,0,0,NA,5,2,150,21,20,5,10.5,-22.2,NA,2024-06-09,Other/Mixed Category
6,Housing System Crimes,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,2024-06-09,Other/Mixed Category
6,Petty Theft,36,46,-21.7,126,153,-17.6,749,791,-5.3,-6.1,12,NA,2024-06-09,Property
6,Retail Theft,34,45,-24.4,110,121,-9.1,612,581,5.3,-5.1,NA,NA,2024-06-09,Other/Mixed Category
6,Misdemeanor Assault,9,15,-40,29,43,-32.6,159,198,-19.7,-2.5,52.9,NA,2024-06-09,Violent
6,Rape (FBI/UCR Definition),1,1,0,2,1,100,4,6,-33.3,-60,NA,NA,2024-06-09,Violent
