precinct,crime,lastweek2024,lastweek2023,week_pct_change,lastmonth2024,lastmonth2023,month_pct_change,yeartodate2024,yeartodate2023,yeartodate_pct_change,ytd_2yr_pct_change,ytd_14yr_pct_change,ytd_31yr_pct_change,lastdate,type
1,Murder,0,0,NA,0,0,NA,2,0,NA,NA,NA,-75,2024-06-23,Violent
1,Rape,0,0,NA,0,2,-100,8,7,14.3,-20,700,0,2024-06-23,Violent
1,Robbery,1,5,-80,10,13,-23.1,62,62,0,-4.6,77.1,-84.7,2024-06-23,Property
1,Felony Assault,6,3,100,23,6,283.3,102,59,72.9,70,277.8,29.1,2024-06-23,Violent
1,Burglary,2,5,-60,27,12,125,118,94,25.5,-10.6,42.2,-70.8,2024-06-23,Property
1,Grand Larceny,26,24,8.3,97,95,2.1,524,555,-5.6,-9.3,4.8,-69.7,2024-06-23,Property
1,Motor Vehicle Theft,2,3,-33.3,6,8,-25,17,33,-48.5,-43.3,13.3,-96,2024-06-23,Property
1,Total Major Felonies,37,40,-7.5,163,136,19.9,833,810,2.8,-4.8,26,-72.8,2024-06-23,Combined Total
1,Transit System Crimes,3,2,50,9,6,50,41,38,7.9,-24.1,20.6,NA,2024-06-23,Other/Mixed Category
1,Housing System Crimes,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,2024-06-23,Other/Mixed Category
1,Petty Theft,65,68,-4.4,249,294,-15.3,1863,1813,2.8,-1,127.2,NA,2024-06-23,Property
1,Retail Theft,63,74,-14.9,232,305,-23.9,1829,1838,-0.5,-4.2,NA,NA,2024-06-23,Other/Mixed Category
1,Misdemeanor Assault,10,6,66.7,36,28,28.6,221,172,28.5,39.9,82.6,NA,2024-06-23,Violent
1,Rape (FBI/UCR Definition),0,0,NA,0,2,-100,9,9,0,-30.8,NA,NA,2024-06-23,Violent
1,Other Sex Crimes,3,2,50,9,9,0,50,42,19,0,NA,NA,2024-06-23,Other/Mixed Category
1,Shooting Victims,0,0,NA,0,0,NA,2,0,NA,100,NA,-50,2024-06-23,Other/Mixed Category
1,Shooting Incidents,0,0,NA,0,0,NA,2,0,NA,100,NA,-50,2024-06-23,Other/Mixed Category
5,Murder,0,0,NA,0,0,NA,0,2,-100,-100,NA,-100,2024-06-23,Violent
5,Rape,0,0,NA,2,0,NA,5,2,150,-16.7,66.7,25,2024-06-23,Violent
5,Robbery,1,2,-50,13,7,85.7,57,67,-14.9,67.6,32.6,-84.3,2024-06-23,Property
5,Felony Assault,4,4,0,16,17,-5.9,99,96,3.1,6.5,47.8,-22.7,2024-06-23,Violent
5,Burglary,2,2,0,6,15,-60,72,74,-2.7,-1.4,9.1,-80.2,2024-06-23,Property
5,Grand Larceny,16,14,14.3,49,59,-16.9,336,331,1.5,26.3,42.4,-53.6,2024-06-23,Property
5,Motor Vehicle Theft,2,1,100,3,2,50,16,21,-23.8,14.3,128.6,-89.5,2024-06-23,Property
5,Total Major Felonies,25,23,8.7,89,100,-11,585,593,-1.3,19.6,38.6,-66.3,2024-06-23,Combined Total
5,Transit System Crimes,2,4,-50,4,7,-42.9,25,18,38.9,-37.5,19,NA,2024-06-23,Other/Mixed Category
5,Housing System Crimes,1,0,NA,3,1,200,23,16,43.8,0,43.8,NA,2024-06-23,Other/Mixed Category
5,Petty Theft,31,22,40.9,106,85,24.7,607,501,21.2,63.2,13.9,NA,2024-06-23,Property
5,Retail Theft,28,17,64.7,89,50,78,502,331,51.7,266.4,NA,NA,2024-06-23,Other/Mixed Category
5,Misdemeanor Assault,6,10,-40,36,35,2.9,212,159,33.3,22.5,66.9,NA,2024-06-23,Violent
5,Rape (FBI/UCR Definition),0,0,NA,2,0,NA,13,7,85.7,30,NA,NA,2024-06-23,Violent
5,Other Sex Crimes,1,0,NA,7,7,0,36,30,20,-25,NA,NA,2024-06-23,Other/Mixed Category
5,Shooting Victims,0,0,NA,0,2,-100,0,5,-100,-100,NA,-100,2024-06-23,Other/Mixed Category
5,Shooting Incidents,0,0,NA,0,2,-100,0,5,-100,-100,NA,-100,2024-06-23,Other/Mixed Category
6,Murder,0,1,-100,0,1,-100,0,1,-100,-100,NA,NA,2024-06-23,Violent
6,Rape,0,0,NA,1,1,0,2,4,-50,-66.7,-60,-66.7,2024-06-23,Violent
6,Robbery,4,5,-20,11,20,-45,72,88,-18.2,-36.3,20,-81.9,2024-06-23,Property
6,Felony Assault,2,3,-33.3,13,16,-18.8,59,85,-30.6,-26.2,37.2,-50.4,2024-06-23,Violent
6,Burglary,4,7,-42.9,20,22,-9.1,123,150,-18,-41.7,32.3,-68,2024-06-23,Property
6,Grand Larceny,13,21,-38.1,88,93,-5.4,473,570,-17,-15.4,-0.6,-57.9,2024-06-23,Property
6,Motor Vehicle Theft,1,1,0,3,4,-25,20,16,25,-28.6,0,-94.5,2024-06-23,Property
6,Total Major Felonies,24,38,-36.8,136,157,-13.4,749,914,-18.1,-24.9,7.5,-68.7,2024-06-23,Combined Total
6,Transit System Crimes,0,1,-100,5,4,25,23,22,4.5,9.5,-23.3,NA,2024-06-23,Other/Mixed Category
6,Housing System Crimes,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,2024-06-23,Other/Mixed Category
6,Petty Theft,31,63,-50.8,126,230,-45.2,808,932,-13.3,-11.1,9.8,NA,2024-06-23,Property
6,Retail Theft,23,48,-52.1,105,195,-46.2,658,694,-5.2,-10.5,NA,NA,2024-06-23,Other/Mixed Category
6,Misdemeanor Assault,7,8,-12.5,32,40,-20,174,213,-18.3,-5.4,51.3,NA,2024-06-23,Violent
6,Rape (FBI/UCR Definition),0,0,NA,2,1,100,5,6,-16.7,-50,NA,NA,2024-06-23,Violent
