precinct,crime,lastweek2024,lastweek2023,week_pct_change,lastmonth2024,lastmonth2023,month_pct_change,yeartodate2024,yeartodate2023,yeartodate_pct_change,ytd_2yr_pct_change,ytd_14yr_pct_change,ytd_31yr_pct_change,lastdate,type
1,Murder,0,1,-100,0,1,-100,0,3,-100,NA,NA,-100,2025-06-29,Violent
1,Rape,0,1,-100,1,1,0,10,9,11.1,11.1,900,25,2025-06-29,Violent
1,Robbery,3,1,200,10,5,100,78,63,23.8,21.9,122.9,-81.3,2025-06-29,Property
1,Felony Assault,3,3,0,16,21,-23.8,79,106,-25.5,25.4,172.4,0,2025-06-29,Violent
1,Burglary,4,1,300,8,23,-65.2,100,122,-18,3.1,16.3,-76.2,2025-06-29,Property
1,Grand Larceny,24,30,-20,84,105,-20,572,559,2.3,-0.2,10.4,-68.2,2025-06-29,Property
1,Motor Vehicle Theft,2,2,0,4,7,-42.9,19,18,5.6,-44.1,26.7,-95.7,2025-06-29,Property
1,Total Major Felonies,36,39,-7.7,123,163,-24.5,858,880,-2.5,2.1,25.4,-72.9,2025-06-29,Combined Total
1,Transit System Crimes,0,4,-100,5,9,-44.4,52,46,13,30,40.5,NA,2025-06-29,Other/Mixed Category
1,Housing System Crimes,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,2025-06-29,Other/Mixed Category
1,Petty Theft,52,79,-34.2,223,271,-17.7,1670,1934,-13.7,-11.1,96,NA,2025-06-29,Property
1,Retail Theft,49,79,-38,212,253,-16.2,1637,1902,-13.9,-14,NA,NA,2025-06-29,Other/Mixed Category
1,Misdemeanor Assault,10,8,25,28,36,-22.2,220,226,-2.7,23.6,76,NA,2025-06-29,Violent
1,Rape (FBI/UCR Definition),0,1,-100,1,1,0,13,10,30,18.2,NA,NA,2025-06-29,Violent
1,Other Sex Crimes,0,2,-100,9,10,-10,53,52,1.9,23.3,NA,NA,2025-06-29,Other/Mixed Category
1,Shooting Victims,0,1,-100,0,1,-100,0,2,-100,NA,NA,-100,2025-06-29,Other/Mixed Category
1,Shooting Incidents,0,1,-100,0,1,-100,0,2,-100,NA,NA,-100,2025-06-29,Other/Mixed Category
5,Murder,0,0,NA,0,0,NA,2,0,NA,0,NA,-33.3,2025-06-29,Violent
5,Rape,0,0,NA,0,1,-100,9,5,80,350,200,125,2025-06-29,Violent
5,Robbery,3,1,200,16,12,33.3,76,59,28.8,7,61.7,-79.8,2025-06-29,Property
5,Felony Assault,6,3,100,19,15,26.7,106,102,3.9,7.1,51.4,-19.7,2025-06-29,Violent
5,Burglary,3,1,200,11,9,22.2,60,76,-21.1,-20,-9.1,-84.4,2025-06-29,Property
5,Grand Larceny,18,17,5.9,69,60,15,336,357,-5.9,-2.9,35.5,-55.3,2025-06-29,Property
5,Motor Vehicle Theft,2,0,NA,3,2,50,9,15,-40,-57.1,28.6,-94.3,2025-06-29,Property
5,Total Major Felonies,32,22,45.5,118,99,19.2,598,614,-2.6,-2.9,35.6,-66.9,2025-06-29,Combined Total
5,Transit System Crimes,2,2,0,5,6,-16.7,27,28,-3.6,35,28.6,NA,2025-06-29,Other/Mixed Category
5,Housing System Crimes,1,3,-66.7,6,4,50,28,25,12,55.6,75,NA,2025-06-29,Other/Mixed Category
5,Petty Theft,35,29,20.7,150,112,33.9,656,631,4,26.4,19.3,NA,2025-06-29,Property
5,Retail Theft,32,25,28,118,100,18,502,528,-4.9,47.6,NA,NA,2025-06-29,Other/Mixed Category
5,Misdemeanor Assault,6,12,-50,33,40,-17.5,226,224,0.9,33.7,66.2,NA,2025-06-29,Violent
5,Rape (FBI/UCR Definition),0,0,NA,1,1,0,11,12,-8.3,57.1,NA,NA,2025-06-29,Violent
5,Other Sex Crimes,2,2,0,10,6,66.7,36,37,-2.7,5.9,NA,NA,2025-06-29,Other/Mixed Category
5,Shooting Victims,0,0,NA,0,0,NA,1,0,NA,-80,NA,-91.7,2025-06-29,Other/Mixed Category
5,Shooting Incidents,0,0,NA,0,0,NA,1,0,NA,-80,NA,-90.9,2025-06-29,Other/Mixed Category
6,Murder,0,0,NA,1,0,NA,1,0,NA,0,NA,NA,2025-06-29,Violent
6,Rape,0,0,NA,0,1,-100,5,2,150,25,-16.7,-16.7,2025-06-29,Violent
6,Robbery,0,3,-100,7,12,-41.7,53,81,-34.6,-41.8,-18.5,-87.4,2025-06-29,Property
6,Felony Assault,5,1,400,10,10,0,52,68,-23.5,-51.4,10.6,-59.4,2025-06-29,Violent
6,Burglary,0,4,-100,7,20,-65,75,135,-44.4,-51,-20.2,-80.7,2025-06-29,Property
6,Grand Larceny,28,23,21.7,81,84,-3.6,453,500,-9.4,-25.9,-10.1,-61,2025-06-29,Property
6,Motor Vehicle Theft,0,0,NA,0,3,-100,6,20,-70,-64.7,-70,-98.4,2025-06-29,Property
6,Total Major Felonies,33,31,6.5,106,130,-18.5,645,806,-20,-34.5,-12.4,-74,2025-06-29,Combined Total
6,Transit System Crimes,2,1,100,6,4,50,30,25,20,36.4,0,NA,2025-06-29,Other/Mixed Category
6,Housing System Crimes,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,2025-06-29,Other/Mixed Category
6,Petty Theft,32,36,-11.1,110,127,-13.4,708,828,-14.5,-27.2,-8.9,NA,2025-06-29,Property
6,Retail Theft,22,29,-24.1,86,108,-20.4,516,683,-24.5,-28.5,NA,NA,2025-06-29,Other/Mixed Category
6,Misdemeanor Assault,13,8,62.5,34,32,6.2,181,178,1.7,-19.9,50.8,NA,2025-06-29,Violent
6,Rape (FBI/UCR Definition),2,0,NA,2,2,0,8,5,60,33.3,NA,NA,2025-06-29,Violent
6,Other Sex Crimes,1,3,-66.7,6,7,-14.3,37,35,5.7,5.7,NA,NA,2025-06-29,Other/Mixed Category
6,Shooting Victims,2,0,NA,2,0,NA,2,0,NA,NA,100,-71.4,2025-06-29,Other/Mixed Category
6,Shooting Incidents,1,0,NA,1,0,NA,1,0,NA,NA,0,-85.7,2025-06-29,Other/Mixed Category
7,Murder,0,0,NA,0,0,NA,2,0,NA,0,100,-60,2025-06-29,Violent
7,Rape,0,0,NA,1,1,0,6,6,0,20,50,-25,2025-06-29,Violent
