city,crime,total00,total01,total02,total03,total04,total05,total06,total07,total08,total09,total10,total11,total12,total13,total14,total15,total16,total17,total18,total19,total20,total21,total22,type,lastweek2023,lastweek2022,week_pct_change,lastmonth2023,lastmonth2022,month_pct_change,yeartodate2023,yeartodate2022,yeartodate_pct_change,ytd_2yr_pct_change,ytd_13yr_pct_change,ytd_30yr_pct_change,lastdate,last12mos,total_prior3years,avg_prior3years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior3years
city,Murder,673,649,587,597,570,539,596,496,523,471,536,515,419,335,333,352,335,292,295,319,468,488,438,Violent,9,9,0,23,30,-23.3,352,398,-11.6,-19.6,-28,-79.9,2023-11-26,392,1394,464.7,37.3,22.9,-10.5,-16,3.6,5.3,5.5,5,4.5,5.3
city,Rape,2068,1981,2144,2070,1905,1858,1525,1351,1299,1205,1373,1420,1445,1378,1352,1438,1438,1449,1794,1755,1427,1491,1617,Violent,28,18,55.6,101,109,-7.3,1309,1499,-12.7,-3.7,4.8,-55.9,2023-11-26,1427,4535,1511.7,-7.9,-18.7,-11.8,-6,19.9,16.2,16.9,18.4,16.2,17.2
city,Robbery,32562,28202,27229,25989,24373,24722,23739,21809,22401,18601,19486,19717,20144,19128,16539,16931,15500,13956,12913,13371,13106,13831,17411,Property,324,336,-3.6,1327,1450,-8.5,15157,15981,-5.2,23.2,-14,-80.4,2023-11-26,16587,44348,14782.7,30.2,24.1,-4.7,12,151.9,148.9,157.1,197.8,188.4,167.9
city,Felony Assault,25924,23453,21147,19139,18622,17750,17309,17493,16284,16773,16956,18482,19381,20297,20207,20270,20847,20052,20208,20698,20572,22835,26063,Violent,473,461,2.6,1994,1995,-0.1,25343,23891,6.1,21,62.2,-33.2,2023-11-26,27515,69470,23156.7,25.9,32.9,5.6,19,235.1,233.7,259.4,296,312.5,263
city,Burglary,38352,32763,31275,29110,26976,24117,23143,21762,20725,19430,18600,18720,19168,17429,16765,15125,12990,12083,11687,10783,15478,12811,15746,Property,258,270,-4.4,992,1136,-12.7,12453,14347,-13.2,10.1,-26.7,-86.3,2023-11-26,13852,44035,14678.3,46,28.5,-12,-6,122.5,175.8,145.5,178.8,157.3,166.7
city,Grand Larceny,49631,46329,45771,46751,48763,48243,46625,44924,44242,39580,37835,38501,42497,45368,43862,44005,44279,43150,43558,43250,35505,40870,51565,Property,799,869,-8.1,3775,3989,-5.4,45534,46997,-3.1,30.8,32.8,-41.4,2023-11-26,50102,127940,42646.7,19.2,15.8,-2.8,17,491.2,403.3,464.2,585.7,569.1,484.4
city,Motor Vehicle Theft,35442,29531,26656,23413,20884,18246,15745,13174,12482,10670,10329,9314,8093,7400,7664,7332,6327,5676,5428,5430,9037,10415,13749,Property,245,252,-2.8,1133,1050,7.9,14381,12262,17.3,54.6,53.2,-85.8,2023-11-26,15868,33201,11067,153.2,192.2,15.4,43,61.7,102.6,118.3,156.2,180.2,125.7
city,Total Major Felonies,184652,162908,154809,147069,142093,135475,128682,121009,117956,106730,105115,106669,111147,111335,106722,105453,101716,96658,95883,95606,95593,102741,126589,Combined Total,2136,2215,-3.6,9345,9759,-4.2,114529,115375,-0.7,26.6,19.7,-70.7,2023-11-26,125743,324923,108307.7,32.4,31.5,-0.7,16,1085.9,1085.8,1167,1437.8,1428.2,1230.2
