city,crime,total00,total01,total02,total03,total04,total05,total06,total07,total08,total09,total10,total11,total12,total13,total14,total15,total16,total17,total18,total19,total20,total21,total22,total23,type,lastweek2024,lastweek2023,week_pct_change,lastmonth2024,lastmonth2023,month_pct_change,yeartodate2024,yeartodate2023,yeartodate_pct_change,ytd_2yr_pct_change,ytd_14yr_pct_change,ytd_31yr_pct_change,lastdate,last12mos,total_prior3years,avg_prior3years,inc_20to23,inc_20tolast12,inc_22tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate23,rate_last12,rate_prior3years
city,Murder,673,649,587,597,570,539,596,496,523,471,536,515,419,335,333,352,335,292,295,319,468,488,438,391,Violent,7,5,40,26,32,-18.8,271,302,-10.3,-17.4,-30.3,-81.1,2024-09-22,360,1317,439,-16.5,-23.1,-17.8,-18,3.6,5.3,5.5,5,4.4,4.1,5
city,Rape,2068,1981,2144,2070,1905,1858,1525,1351,1299,1205,1373,1420,1445,1378,1352,1438,1438,1449,1794,1755,1427,1491,1617,1455,Violent,43,46,-6.5,157,124,26.6,1218,1077,13.1,-0.1,26.5,-49.5,2024-09-22,1596,4563,1521,2,11.8,-1.3,5,19.9,16.2,16.9,18.4,16.5,18.1,17.3
city,Robbery,32562,28202,27229,25989,24373,24722,23739,21809,22401,18601,19486,19717,20144,19128,16539,16931,15500,13956,12913,13371,13106,13831,17411,16910,Property,321,356,-9.8,1253,1414,-11.4,12190,12064,1,-4.1,-9.6,-80,2024-09-22,17036,48152,16050.7,29,30,-2.2,6,151.9,148.9,157.1,197.8,192.1,193.5,182.3
city,Felony Assault,25924,23453,21147,19139,18622,17750,17309,17493,16284,16773,16956,18482,19381,20297,20207,20270,20847,20052,20208,20698,20572,22835,26063,27876,Violent,589,533,10.5,2334,2298,1.6,21684,20614,5.2,12,71.7,-29.6,2024-09-22,28946,76774,25591.3,35.5,40.7,11.1,13,235.1,233.7,259.4,296,316.6,328.8,290.7
city,Burglary,38352,32763,31275,29110,26976,24117,23143,21762,20725,19430,18600,18720,19168,17429,16765,15125,12990,12083,11687,10783,15478,12811,15746,13773,Property,243,242,0.4,964,1059,-9,9323,10166,-8.3,-18.6,-30,-87.2,2024-09-22,12930,42330,14110,-11,-16.5,-17.9,-8,122.5,175.8,145.5,178.8,156.4,146.9,160.3
city,Grand Larceny,49631,46329,45771,46751,48763,48243,46625,44924,44242,39580,37835,38501,42497,45368,43862,44005,44279,43150,43558,43250,35505,40870,51565,50586,Property,972,1001,-2.9,3828,4128,-7.3,35355,36942,-4.3,-5.2,31.8,-43,2024-09-22,48999,143021,47673.7,42.5,38,-5,3,491.2,403.3,464.2,585.7,574.6,556.5,541.5
city,Motor Vehicle Theft,35442,29531,26656,23413,20884,18246,15745,13174,12482,10670,10329,9314,8093,7400,7664,7332,6327,5676,5428,5430,9037,10415,13749,15795,Property,326,338,-3.6,1241,1330,-6.7,10507,11585,-9.3,7.6,39.8,-87,2024-09-22,14717,39959,13319.7,74.8,62.9,7,10,61.7,102.6,118.3,156.2,179.4,167.2,151.3
city,Total Major Felonies,184652,162908,154809,147069,142093,135475,128682,121009,117956,106730,105115,106669,111147,111335,106722,105453,101716,96658,95883,95606,95593,102741,126589,126786,Combined Total,2501,2521,-0.8,9803,10385,-5.6,90548,92750,-2.4,-1.7,20.5,-70.9,2024-09-22,124584,356116,118705.3,32.6,30.3,-1.6,5,1085.9,1085.8,1167,1437.8,1440.1,1415.1,1348.3
