city,crime,total00,total01,total02,total03,total04,total05,total06,total07,total08,total09,total10,total11,total12,total13,total14,total15,total16,total17,total18,total19,total20,total21,total22,type,lastweek2023,lastweek2022,week_pct_change,lastmonth2023,lastmonth2022,month_pct_change,yeartodate2023,yeartodate2022,yeartodate_pct_change,ytd_2yr_pct_change,ytd_13yr_pct_change,ytd_30yr_pct_change,lastdate,last12mos,total_prior3years,avg_prior3years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior3years
city,Murder,673,649,587,597,570,539,596,496,523,471,536,515,419,335,333,352,335,292,295,319,468,488,438,Violent,7,12,-41.7,19,36,-47.2,16,27,-40.7,-23.8,-11.1,-88.2,2024-01-21,427,1394,464.7,37.3,33.9,-2.5,-8,3.6,5.3,5.5,5,4.8,5.3
city,Rape,2068,1981,2144,2070,1905,1858,1525,1351,1299,1205,1373,1420,1445,1378,1352,1438,1438,1449,1794,1755,1427,1491,1617,Violent,20,29,-31,88,123,-28.5,63,100,-37,-33,-6,-61.8,2024-01-21,1580,4535,1511.7,-7.9,-10,-2.3,5,19.9,16.2,16.9,18.4,17.9,17.2
city,Robbery,32562,28202,27229,25989,24373,24722,23739,21809,22401,18601,19486,19717,20144,19128,16539,16931,15500,13956,12913,13371,13106,13831,17411,Property,278,272,2.2,1332,1203,10.7,960,913,5.1,10.6,-18.3,-82.1,2024-01-21,17458,44348,14782.7,30.2,30.6,0.3,18,151.9,148.9,157.1,197.8,198.3,167.9
city,Felony Assault,25924,23453,21147,19139,18622,17750,17309,17493,16284,16773,16956,18482,19381,20297,20207,20270,20847,20052,20208,20698,20572,22835,26063,Violent,413,486,-15,1908,1922,-0.7,1393,1472,-5.4,14.2,66,-33.3,2024-01-21,25984,69470,23156.7,25.9,25.5,-0.3,12,235.1,233.7,259.4,296,295.1,263
city,Burglary,38352,32763,31275,29110,26976,24117,23143,21762,20725,19430,18600,18720,19168,17429,16765,15125,12990,12083,11687,10783,15478,12811,15746,Property,215,285,-24.6,959,1177,-18.5,703,910,-22.7,-17.3,-39.4,-88.6,2024-01-21,15539,44035,14678.3,46,44.1,-1.3,6,122.5,175.8,145.5,178.8,176.5,166.7
city,Grand Larceny,49631,46329,45771,46751,48763,48243,46625,44924,44242,39580,37835,38501,42497,45368,43862,44005,44279,43150,43558,43250,35505,40870,51565,Property,839,912,-8,3536,3645,-3,2616,2765,-5.4,-9.7,28.9,-43.8,2024-01-21,51416,127940,42646.7,19.2,18.9,-0.3,21,491.2,403.3,464.2,585.7,584,484.4
city,Motor Vehicle Theft,35442,29531,26656,23413,20884,18246,15745,13174,12482,10670,10329,9314,8093,7400,7664,7332,6327,5676,5428,5430,9037,10415,13749,Property,250,248,0.8,1087,1129,-3.7,802,818,-2,-3.4,41.9,-88.6,2024-01-21,13733,33201,11067,153.2,152.9,-0.1,24,61.7,102.6,118.3,156.2,156,125.7
city,Total Major Felonies,184652,162908,154809,147069,142093,135475,128682,121009,117956,106730,105115,106669,111147,111335,106722,105453,101716,96658,95883,95606,95593,102741,126589,Combined Total,2022,2244,-9.9,8929,9235,-3.3,6553,7005,-6.5,-3.4,11.9,-74.4,2024-01-21,126137,324923,108307.7,32.4,31.9,-0.4,16,1085.9,1085.8,1167,1437.8,1432.7,1230.2
