city,crime,total00,total01,total02,total03,total04,total05,total06,total07,total08,total09,total10,total11,total12,total13,total14,total15,total16,total17,total18,total19,total20,total21,total22,total23,type,lastweek2024,lastweek2023,week_pct_change,lastmonth2024,lastmonth2023,month_pct_change,yeartodate2024,yeartodate2023,yeartodate_pct_change,ytd_2yr_pct_change,ytd_14yr_pct_change,ytd_31yr_pct_change,lastdate,last12mos,total_prior3years,avg_prior3years,inc_20to23,inc_20tolast12,inc_22tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate23,rate_last12,rate_prior3years
city,Murder,673,649,587,597,570,539,596,496,523,471,536,515,419,335,333,352,335,292,295,319,468,488,438,391,Violent,5,8,-37.5,36,30,20,224,250,-10.4,-17.6,-30.4,-80.5,2024-08-04,365,1317,439,-16.5,-22,-16.7,-17,3.6,5.3,5.5,5,4.4,4.1,5
city,Rape,2068,1981,2144,2070,1905,1858,1525,1351,1299,1205,1373,1420,1445,1378,1352,1438,1438,1449,1794,1755,1427,1491,1617,1455,Violent,31,22,40.9,117,112,4.5,969,873,11,-1.6,25.7,-50.1,2024-08-04,1551,4563,1521,2,8.7,-4.1,2,19.9,16.2,16.9,18.4,16.5,17.6,17.3
city,Robbery,32562,28202,27229,25989,24373,24722,23739,21809,22401,18601,19486,19717,20144,19128,16539,16931,15500,13956,12913,13371,13106,13831,17411,16910,Property,335,349,-4,1369,1412,-3,9902,9574,3.4,-2.4,-8.5,-80,2024-08-04,17238,48152,16050.7,29,31.5,-1,7,151.9,148.9,157.1,197.8,192.1,195.8,182.3
city,Felony Assault,25924,23453,21147,19139,18622,17750,17309,17493,16284,16773,16956,18482,19381,20297,20207,20270,20847,20052,20208,20698,20572,22835,26063,27876,Violent,579,619,-6.5,2333,2443,-4.5,17438,16614,5,12,70.8,-29.8,2024-08-04,28700,76774,25591.3,35.5,39.5,10.1,12,235.1,233.7,259.4,296,316.6,326,290.7
city,Burglary,38352,32763,31275,29110,26976,24117,23143,21762,20725,19430,18600,18720,19168,17429,16765,15125,12990,12083,11687,10783,15478,12811,15746,13773,Property,235,298,-21.1,962,1143,-15.8,7485,8324,-10.1,-18.4,-28.9,-87.3,2024-08-04,12934,42330,14110,-11,-16.4,-17.9,-8,122.5,175.8,145.5,178.8,156.4,146.9,160.3
city,Grand Larceny,49631,46329,45771,46751,48763,48243,46625,44924,44242,39580,37835,38501,42497,45368,43862,44005,44279,43150,43558,43250,35505,40870,51565,50586,Property,915,1084,-15.6,3825,4150,-7.8,28395,29656,-4.3,-5.2,32.3,-42.6,2024-08-04,49325,143021,47673.7,42.5,38.9,-4.3,3,491.2,403.3,464.2,585.7,574.6,560.2,541.5
city,Motor Vehicle Theft,35442,29531,26656,23413,20884,18246,15745,13174,12482,10670,10329,9314,8093,7400,7664,7332,6327,5676,5428,5430,9037,10415,13749,15795,Property,301,332,-9.3,1274,1394,-8.6,8301,9218,-9.9,6.5,37,-87.3,2024-08-04,14878,39959,13319.7,74.8,64.6,8.2,12,61.7,102.6,118.3,156.2,179.4,169,151.3
city,Total Major Felonies,184652,162908,154809,147069,142093,135475,128682,121009,117956,106730,105115,106669,111147,111335,106722,105453,101716,96658,95883,95606,95593,102741,126589,126786,Combined Total,2401,2712,-11.5,9916,10684,-7.2,72714,74509,-2.4,-1.6,20.8,-71,2024-08-04,124991,356116,118705.3,32.6,30.8,-1.3,5,1085.9,1085.8,1167,1437.8,1440.1,1419.7,1348.3
