city,crime,total00,total01,total02,total03,total04,total05,total06,total07,total08,total09,total10,total11,total12,total13,total14,total15,total16,total17,total18,total19,total20,total21,type,lastweek2022,lastweek2021,week_pct_change,lastmonth2022,lastmonth2021,month_pct_change,yeartodate2022,yeartodate2021,yeartodate_pct_change,ytd_2yr_pct_change,ytd_12yr_pct_change,ytd_29yr_pct_change,lastdate,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
city,Murder,673,649,587,597,570,539,596,496,523,471,536,515,419,335,333,352,335,292,295,319,468,488,Violent,5,6,-16.7,25,28,-10.7,32,35,-8.6,-13.5,-27.3,-84.5,2023-02-05,485,1275,425,53,52,-0.6,14,3.6,5.3,5.5,5.5,4.8
city,Rape,2068,1981,2144,2070,1905,1858,1525,1351,1299,1205,1373,1420,1445,1378,1352,1438,1438,1449,1794,1755,1427,1491,Violent,20,33,-39.4,102,126,-19,145,159,-8.8,27.2,21.8,-50,2023-02-05,1477,4673,1557.7,-15,-15.8,-0.9,-5,19.9,16.2,16.9,16.8,17.7
city,Robbery,32562,28202,27229,25989,24373,24722,23739,21809,22401,18601,19486,19717,20144,19128,16539,16931,15500,13956,12913,13371,13106,13831,Property,283,247,14.6,1157,1113,4,1525,1435,6.3,45.8,-21.8,-82.9,2023-02-05,13921,40308,13436,3.4,4.1,0.7,4,151.9,148.9,157.1,158.1,152.6
city,Felony Assault,25924,23453,21147,19139,18622,17750,17309,17493,16284,16773,16956,18482,19381,20297,20207,20270,20847,20052,20208,20698,20572,22835,Violent,404,389,3.9,1730,1601,8.1,2333,2079,12.2,30.6,62.4,-33.7,2023-02-05,23089,64105,21368.3,10.3,11.6,1.1,8,235.1,233.7,259.4,262.3,242.7
city,Burglary,38352,32763,31275,29110,26976,24117,23143,21762,20725,19430,18600,18720,19168,17429,16765,15125,12990,12083,11687,10783,15478,12811,Property,255,265,-3.8,1099,1107,-0.7,1452,1414,2.7,18,-25.5,-86.1,2023-02-05,12849,39072,13024,18.8,19.2,0.3,-1,122.5,175.8,145.5,145.9,147.9
city,Grand Larceny,49631,46329,45771,46751,48763,48243,46625,44924,44242,39580,37835,38501,42497,45368,43862,44005,44279,43150,43558,43250,35505,40870,Property,912,884,3.2,3624,3741,-3.1,4620,4762,-3,60,31.2,-41.8,2023-02-05,40728,119625,39875,-5.5,-5.8,-0.3,2,491.2,403.3,464.2,462.6,452.9
city,Motor Vehicle Theft,35442,29531,26656,23413,20884,18246,15745,13174,12482,10670,10329,9314,8093,7400,7664,7332,6327,5676,5428,5430,9037,10415,Property,261,227,15,1082,1048,3.2,1397,1333,4.8,100.1,40.8,-88.3,2023-02-05,10479,24882,8294,91.8,93,0.6,26,61.7,102.6,118.3,119,94.2
city,Total Major Felonies,184652,162908,154809,147069,142093,135475,128682,121009,117956,106730,105115,106669,111147,111335,106722,105453,101716,96658,95883,95606,95593,102741,Combined Total,2140,2051,4.3,8819,8764,0.6,11504,11217,2.6,47.5,14.9,-73.4,2023-02-05,103028,293940,97980,7.5,7.8,0.3,5,1085.9,1085.8,1167,1170.2,1112.9
